step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,24,18533.655,4315.616,17858.623,1799471104,0.31,246.158,428.873
2,24,17781.002,3386.198,17205.391,1362792448,1.81,112.998,462.614
3,24,15983.659,2964.343,15420.580,1217306624,3.54,164.559,398.520
4,24,17684.486,2335.821,17209.981,1058553856,5.51,107.322,367.183
5,24,13223.668,2888.149,12663.425,1151082496,7.07,156.837,403.406
6,24,15354.446,2011.691,14911.890,873324544,9.14,145.348,297.208
7,24,11607.686,4560.181,10897.995,1812721664,8.96,74.322,635.369
8,24,15413.838,3558.983,14812.749,1455460352,9.55,151.890,449.200
9,24,6394.164,2894.407,5857.767,1230479360,10.55,137.317,399.080
10,24,1958.677,4025.487,1289.286,1667145728,10.63,340.706,328.685
11,24,11495.905,4664.042,10842.751,1839185920,10.37,302.722,350.432
12,24,9077.898,4252.539,8354.240,1680424960,10.42,191.128,532.529
13,24,5846.083,4380.980,5141.287,1772982272,10.30,341.112,363.684
14,24,9847.707,4342.808,9234.958,1746583552,10.24,300.256,312.493
15,24,1643.352,3834.788,1030.494,1640681472,10.35,276.881,335.978
16,24,758.895,2745.817,300.943,1256992768,11.08,302.993,154.959
17,24,792.488,3172.931,243.510,1402523648,11.53,370.856,178.122
18,24,746.847,2991.882,236.551,1323167744,12.08,349.232,161.064
19,24,912.791,4004.083,308.116,1667145728,12.09,397.389,207.286
20,24,863.099,3756.303,302.391,1653870592,12.12,355.996,204.712
21,24,887.531,3758.350,293.402,1614258176,12.20,397.165,196.964
22,24,715.776,2608.776,230.845,1217290240,12.82,337.736,147.195
23,24,851.296,3638.280,269.893,1627447296,12.86,378.172,203.231
24,24,1103.502,2688.541,593.363,1230565376,13.42,360.236,149.903
# summary tokens=24 s/tok=7.478 tok/s=0.134 read_MiB=33666.1 io_s=83.78 compute_s/tok=6.896 io_s/tok=3.491 cache_hit_pct=13.4 n_prompt=85 load_s=58.164 prefill_s=33.955 prefill_tps=2.50 stall_s/tok=0.262 mgmt_s/tok=0.320 cache_resident_MiB=2987.8 cache_budget_MiB=3000.0 cache_resizes=0 spec_read_MiB=0.0 spec_experts=0 spec_useful=0
