step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,256,682.723,933.784,393.019,674045952,3.27,213.580,76.123
2,256,704.217,988.815,387.914,708440064,5.43,233.500,82.803
3,256,277.301,434.110,123.248,320077824,10.98,117.637,36.415
4,256,384.900,765.064,134.733,552517632,13.52,183.418,66.749
5,256,296.173,480.422,129.773,330059776,17.50,127.606,38.794
6,256,297.875,491.708,128.512,351903744,20.77,128.800,40.563
7,256,255.678,316.431,129.817,231297024,24.45,98.529,27.331
8,256,242.614,298.184,128.922,199393280,27.86,91.173,22.519
9,256,219.634,222.453,130.710,156721152,31.12,70.228,18.695
10,256,241.057,306.233,125.357,213778432,33.69,90.884,24.816
11,256,274.636,446.199,123.745,326451200,35.35,111.554,39.337
12,256,223.562,212.746,129.199,146755584,37.83,76.559,17.804
13,256,198.216,180.945,121.251,130748416,40.13,61.799,15.165
14,256,221.484,173.024,141.665,132096000,42.20,63.849,15.970
15,256,208.272,230.613,114.757,177008640,43.92,73.811,19.704
16,256,198.893,95.194,138.827,80179200,45.90,49.347,10.719
17,256,209.458,160.383,133.558,117694464,47.56,61.599,14.301
18,256,186.772,181.940,114.144,132247552,49.05,57.408,15.220
19,256,274.847,435.527,125.817,300290048,49.75,115.222,33.808
20,256,262.853,354.771,128.890,264462336,50.56,103.683,30.280
21,256,260.591,333.465,128.540,245719040,51.38,103.765,28.285
22,256,213.122,188.182,133.026,132112384,52.53,64.360,15.736
23,256,181.230,116.179,119.281,97452032,53.72,50.255,11.694
24,256,231.723,198.902,137.864,139382784,54.71,76.580,17.278
25,256,164.666,96.611,115.839,75124736,55.84,39.514,9.313
26,256,188.897,173.488,114.220,139309056,56.70,58.445,16.232
27,256,203.326,205.105,122.798,140939264,57.52,64.052,16.476
28,256,165.760,106.940,114.509,81600512,58.46,41.263,9.988
29,256,367.001,772.975,122.054,555876352,57.97,182.853,62.094
30,256,177.110,136.743,117.784,110489600,58.77,46.147,13.179
31,256,248.466,204.659,152.787,148758528,59.42,76.209,19.470
32,256,203.854,188.419,128.231,133087232,60.10,59.869,15.754
33,256,267.877,394.246,129.640,279474176,60.35,106.151,32.086
34,256,361.776,676.190,143.057,478257152,60.10,160.516,58.203
35,256,231.559,310.972,121.176,224755712,60.49,83.162,27.221
36,256,309.313,573.236,125.319,406458368,60.40,136.911,47.083
37,256,505.662,321.801,382.652,227590144,60.75,95.825,27.185
38,256,269.303,359.910,133.347,263569408,61.00,105.022,30.933
39,256,302.326,500.164,134.297,343134208,61.07,128.124,39.906
40,256,262.043,361.916,128.534,252182528,61.33,103.222,30.287
41,256,311.024,544.465,127.875,391438336,61.28,138.642,44.507
42,256,261.571,344.779,128.050,258723840,61.52,102.835,30.687
43,256,248.095,338.562,127.755,234774528,61.79,93.896,26.444
44,256,308.553,409.987,158.799,273772544,61.97,116.528,33.226
45,256,223.587,199.586,134.236,147337216,62.40,71.371,17.980
46,256,215.084,180.717,134.960,123527168,62.86,65.020,15.104
47,256,170.899,147.914,115.499,95363072,63.35,43.850,11.550
48,256,249.577,285.406,136.973,210935808,63.61,88.178,24.427
49,256,307.764,331.066,180.965,238379008,63.81,98.557,28.242
50,256,309.568,546.746,125.629,389324800,63.73,137.703,46.236
51,256,257.637,318.832,133.672,237002752,63.93,96.308,27.657
52,256,239.288,233.362,135.159,165388288,64.24,84.135,19.994
53,256,226.968,251.060,126.108,169848832,64.53,80.777,20.082
54,256,290.970,463.957,128.585,346599424,64.52,123.531,38.854
55,256,302.507,499.086,136.996,345284608,64.50,124.407,41.104
56,256,202.886,222.981,116.831,168230912,64.78,66.857,19.198
57,256,287.874,310.211,167.414,218873856,64.97,94.707,25.753
58,256,216.547,221.855,130.851,143925248,65.28,67.535,18.161
59,256,202.041,220.599,116.599,148127744,65.56,67.807,17.635
60,256,670.999,879.007,395.897,624586752,65.10,202.925,72.177
61,256,313.185,562.654,127.488,397303808,65.00,140.761,44.937
62,256,326.328,586.812,131.287,422518784,64.86,146.386,48.655
63,256,300.569,507.564,129.431,352555008,64.84,130.554,40.584
64,256,221.465,193.130,130.155,149581824,65.11,73.286,18.024
65,256,199.125,194.367,118.488,144408576,65.38,64.196,16.441
66,256,306.704,594.929,120.084,431202304,65.24,138.183,48.438
67,256,265.903,315.508,135.865,211853312,65.41,104.308,25.730
68,256,291.710,475.126,128.336,339591168,65.40,124.660,38.714
69,256,273.919,400.481,126.849,286175232,65.46,114.424,32.645
70,256,334.247,309.490,215.938,220487680,65.62,91.534,26.775
71,256,239.599,267.658,136.223,181919744,65.81,81.861,21.515
72,256,268.711,393.401,125.873,281575424,65.86,110.001,32.837
73,256,218.809,267.507,123.171,185606144,66.04,72.942,22.696
74,256,556.472,578.428,375.298,408739840,65.92,133.730,47.444
75,256,278.507,418.373,132.913,281100288,65.98,112.375,33.219
76,256,358.239,318.918,242.623,231923712,66.10,87.505,28.111
77,256,268.080,352.391,131.433,260820992,66.18,106.267,30.380
78,256,236.362,285.590,126.797,216043520,66.31,83.639,25.926
79,256,251.968,317.422,130.563,225398784,66.43,95.147,26.258
80,256,239.889,220.846,138.077,164773888,66.61,81.711,20.100
81,256,175.192,136.987,118.785,106037248,66.86,43.782,12.624
82,256,187.653,171.129,114.894,128643072,67.08,57.634,15.124
83,256,201.446,173.039,126.332,132820992,67.28,59.573,15.542
84,256,264.081,374.693,131.373,262123520,67.34,103.242,29.465
85,256,197.495,146.065,127.314,104165376,67.57,57.244,12.937
86,256,254.530,295.951,132.257,218877952,67.68,95.961,26.311
87,256,243.774,322.962,122.716,238333952,67.75,93.409,27.648
88,256,252.808,339.061,124.822,240590848,67.83,99.808,28.178
89,256,231.023,263.670,124.957,197947392,67.94,83.054,23.012
90,256,262.629,351.621,134.909,233263104,68.02,100.159,27.561
91,256,237.849,307.121,128.309,206589952,68.13,85.230,24.309
92,256,222.007,208.798,129.500,150990848,68.29,74.432,18.075
93,256,283.196,423.938,133.249,292360192,68.29,114.197,35.749
94,256,262.886,327.095,136.663,230400000,68.36,99.088,27.135
95,256,273.277,393.191,128.705,278978560,68.39,112.111,32.462
96,256,241.127,322.667,122.844,233414656,68.46,91.490,26.793
97,256,260.297,348.053,132.035,236273664,68.53,99.980,28.282
98,256,303.483,547.759,124.296,376418304,68.46,135.851,43.335
99,256,257.877,349.443,128.011,246325248,68.51,101.005,28.862
100,256,267.259,351.915,131.791,247947264,68.57,106.048,29.421
101,256,359.811,676.583,144.772,474402816,68.39,160.263,54.775
102,256,352.823,665.237,135.480,476598272,68.22,161.406,55.937
103,256,300.970,501.624,133.078,357564416,68.17,125.888,42.004
104,256,311.807,506.054,139.271,359915520,68.12,129.784,42.752
105,256,228.408,199.745,137.741,145129472,68.27,73.377,17.291
106,256,243.150,291.425,129.454,215904256,68.35,88.594,25.102
107,256,271.858,365.586,135.072,272367616,68.37,104.306,32.480
108,256,594.239,572.483,403.693,402460672,68.28,142.052,48.494
109,256,261.461,331.806,134.887,234106880,68.35,97.409,29.165
110,256,279.378,388.196,143.744,286175232,68.37,100.817,34.817
111,256,286.028,412.913,133.890,283230208,68.38,118.864,33.274
112,256,265.886,356.006,132.487,255787008,68.43,103.645,29.754
113,256,535.235,535.199,372.582,368254976,68.36,121.592,41.060
114,256,265.435,299.374,139.911,226340864,68.43,97.621,27.903
115,256,255.584,340.444,130.106,236404736,68.49,98.211,27.267
116,256,250.113,248.034,148.898,173461504,68.60,79.431,21.783
117,256,283.329,411.542,137.897,283836416,68.61,111.264,34.168
118,256,236.910,283.261,129.889,195067904,68.70,84.352,22.669
