step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,256,849.935,769.448,663.836,492924928,5.44,112.505,73.593
2,256,350.049,752.205,114.727,512897024,9.50,176.145,59.178
3,256,235.548,317.962,114.418,239239168,15.47,95.653,25.478
4,256,302.285,594.193,115.783,415444992,18.89,137.962,48.539
5,256,246.338,388.890,110.023,269467648,22.96,107.432,28.883
6,256,258.699,350.666,129.644,246480896,26.64,101.586,27.469
7,256,239.769,288.671,130.393,203112448,30.13,88.823,20.553
8,256,206.333,231.066,112.822,165486592,33.42,73.347,20.164
9,256,221.283,205.875,141.006,145915904,36.42,65.272,15.005
10,256,234.596,277.212,130.658,198627328,38.79,83.133,20.805
11,256,234.357,253.087,131.230,189968384,40.95,83.170,19.957
12,256,198.750,165.377,126.922,122916864,43.28,59.406,12.422
13,256,190.655,138.975,124.258,104050688,45.46,55.661,10.735
14,256,182.559,124.893,126.687,94605312,47.48,45.776,10.095
15,256,197.405,158.435,124.251,122138624,49.21,60.798,12.356
16,256,150.471,42.071,122.070,40456192,51.15,24.637,3.765
17,256,163.912,76.068,121.922,65683456,52.82,35.162,6.828
18,256,156.109,83.174,120.267,63705088,54.39,29.459,6.383
19,256,154.703,74.848,117.575,59191296,55.85,31.230,5.898
20,256,157.956,56.602,122.923,54890496,57.21,28.983,6.050
21,256,227.656,245.705,127.193,187858944,58.01,82.006,18.457
22,256,181.627,102.057,129.693,86659072,59.10,41.919,10.015
23,256,153.040,52.446,121.070,47661056,60.26,27.055,4.915
24,256,167.260,79.807,123.688,63524864,61.29,36.704,6.868
25,256,149.023,48.287,119.161,41857024,62.33,25.263,4.599
26,256,184.169,149.571,119.165,116219904,63.06,53.197,11.808
27,256,195.555,196.859,121.488,140939264,63.70,59.379,14.689
28,256,151.007,61.668,117.830,50552832,64.56,28.133,5.044
29,256,331.382,635.265,136.522,460636160,64.19,145.594,49.265
30,256,164.062,82.969,121.884,69390336,64.94,35.349,6.830
31,256,163.334,73.783,122.060,64208896,65.66,34.500,6.774
32,256,165.574,103.442,122.888,75231232,66.33,35.283,7.403
33,256,226.618,286.710,121.310,205111296,66.62,84.624,20.685
34,256,283.382,428.608,130.785,303570944,66.67,119.909,32.688
35,256,228.393,270.484,125.071,192233472,66.98,83.920,19.402
36,256,289.990,483.546,130.251,343633920,66.90,123.784,35.956
37,256,231.141,254.488,127.845,186384384,67.20,83.277,20.019
38,256,229.796,311.372,114.424,231784448,67.38,88.003,27.369
39,256,240.097,327.669,126.128,223973376,67.58,89.944,24.026
40,256,245.757,299.127,141.085,201646080,67.82,84.286,20.386
41,256,212.860,245.039,120.904,171945984,68.11,74.504,17.453
42,256,210.635,216.830,121.928,172068864,68.40,70.096,18.611
43,256,224.730,261.627,128.792,184225792,68.64,77.214,18.725
44,256,212.316,209.386,125.885,155340800,68.93,70.110,16.321
45,256,187.947,156.488,121.584,118407168,69.28,54.728,11.635
46,256,171.738,117.600,124.306,83058688,69.69,39.003,8.429
47,256,132.815,22.501,119.379,20238336,70.20,11.261,2.175
48,256,188.153,151.832,124.557,118435840,70.51,51.017,12.579
49,256,201.626,201.378,119.264,156700672,70.73,67.356,15.006
50,256,227.877,263.395,126.412,184885248,70.90,82.442,19.023
51,256,223.326,231.124,125.865,176283648,71.08,78.577,18.884
52,256,213.002,138.246,140.756,117710848,71.36,58.470,13.776
53,256,200.726,149.829,130.090,117108736,71.63,58.573,12.062
54,256,245.065,346.841,126.499,246190080,71.66,92.464,26.101
55,256,281.305,434.899,139.696,314990592,71.59,109.798,31.811
56,256,196.431,181.075,123.906,136450048,71.80,59.101,13.424
57,256,197.987,163.941,128.935,122793984,72.04,56.100,12.952
58,256,206.192,145.953,137.046,110649344,72.29,57.161,11.984
59,256,184.613,160.623,124.332,96845824,72.56,48.940,11.341
60,256,310.822,621.775,118.053,434511872,72.27,144.201,48.568
61,256,251.524,357.085,123.171,259342336,72.28,97.802,30.551
62,256,263.175,407.856,115.647,307691520,72.21,111.958,35.570
63,256,262.626,450.077,116.057,319287296,72.14,109.321,37.248
64,256,168.639,119.935,110.491,100425728,72.38,45.922,12.226
65,256,175.410,162.189,109.186,121311232,72.58,52.371,13.854
66,256,279.967,424.549,125.680,307675136,72.51,118.506,35.781
67,256,211.897,264.220,113.103,188010496,72.62,76.199,22.596
68,256,203.957,241.219,110.591,187858944,72.72,72.186,21.179
69,256,205.066,208.838,116.078,164122624,72.86,70.801,18.187
70,256,193.090,155.088,124.063,115720192,73.06,55.726,13.301
71,256,201.398,236.619,114.869,169631744,73.17,66.191,20.338
72,256,187.932,145.333,121.275,111230976,73.36,54.755,11.902
73,256,177.385,122.277,126.291,86663168,73.57,40.674,10.420
74,256,209.908,241.325,120.503,173965312,73.67,69.806,19.598
75,256,249.254,300.094,131.633,199405568,73.73,94.084,23.537
76,256,223.371,206.713,130.859,158183424,73.85,73.537,18.975
77,256,215.531,163.748,138.772,125009920,74.00,62.483,14.275
78,256,193.688,158.147,120.089,124284928,74.16,58.820,14.779
79,256,184.614,115.199,133.228,87420928,74.35,42.235,9.151
80,256,192.685,153.340,124.227,124301312,74.49,55.025,13.432
81,256,155.538,102.157,111.874,78585856,74.68,33.750,9.913
82,256,190.808,135.993,127.717,100450304,74.85,50.904,12.186
83,256,174.249,74.322,132.909,54861824,75.06,34.582,6.758
84,256,217.367,194.622,138.604,131489792,75.18,64.368,14.394
85,256,166.287,85.015,123.688,65798144,75.38,35.630,6.969
86,256,191.984,145.755,127.279,114204672,75.51,52.965,11.741
87,256,527.346,195.962,432.165,149573632,75.61,79.796,15.385
88,256,163.423,124.032,113.887,81686528,75.78,39.678,9.858
89,256,140.582,48.138,109.829,43347968,75.98,25.082,5.672
90,256,179.494,182.508,109.256,121303040,76.09,56.295,13.943
91,256,182.644,171.990,113.951,128622592,76.20,53.209,15.484
92,256,149.098,75.727,110.651,59973632,76.37,30.699,7.749
93,256,189.418,48.494,149.943,45436928,76.56,32.736,6.740
94,256,159.218,68.144,121.439,48410624,76.74,31.757,6.022
95,256,176.234,166.073,109.897,119185408,76.84,51.801,14.536
96,256,168.970,116.763,119.713,80216064,76.99,39.921,9.336
97,256,164.225,114.000,109.366,93863936,77.11,43.146,11.713
98,256,277.129,304.730,159.411,195063808,77.13,93.913,23.804
99,256,221.219,202.384,131.440,153092096,77.19,72.543,17.237
100,256,184.284,167.199,117.591,117952512,77.30,53.837,12.856
101,256,212.710,265.593,113.808,196435968,77.31,76.031,22.871
102,256,288.211,517.480,122.581,349478912,77.18,127.624,38.005
103,256,252.289,330.529,134.176,241254400,77.16,89.958,28.155
104,256,247.902,379.695,117.029,270262272,77.12,99.494,31.379
105,256,199.807,120.109,137.451,92356608,77.23,50.507,11.849
106,256,217.718,186.749,135.674,138686464,77.30,66.546,15.497
107,256,160.711,57.256,124.720,53514240,77.45,30.175,5.816
108,256,241.681,280.969,132.209,204410880,77.46,87.798,21.674
109,256,254.958,305.248,139.039,213876736,77.46,93.951,21.967
110,256,223.597,226.701,128.391,178528256,77.50,76.633,18.572
111,256,239.269,307.505,125.003,217542656,77.50,91.469,22.796
112,256,212.009,225.346,122.038,166252544,77.54,73.371,16.600
113,256,253.557,358.498,131.179,248336384,77.51,98.458,23.920
114,256,224.478,254.215,125.323,185126912,77.54,80.433,18.722
115,256,215.858,220.139,128.826,155463680,77.59,70.481,16.551
116,256,190.679,132.717,128.757,105549824,77.69,50.826,11.096
117,256,228.654,260.939,129.175,189239296,77.70,79.870,19.608
118,256,180.572,172.611,114.723,128634880,77.78,50.261,15.589
119,256,180.031,184.318,110.729,132841472,77.84,54.480,14.822
120,256,203.745,220.800,116.798,158908416,77.88,68.750,18.196
121,256,202.224,211.848,110.040,169852928,77.92,72.942,19.242
122,256,164.142,126.158,111.242,94609408,78.01,41.849,11.051
123,256,246.488,288.624,133.927,191479808,78.03,89.947,22.614
124,256,199.573,122.436,135.891,96845824,78.12,52.458,11.224
125,256,173.896,159.501,111.029,111239168,78.19,49.670,13.197
126,256,145.149,91.837,109.955,62218240,78.31,27.000,8.194
127,256,197.157,179.219,129.081,126402560,78.37,55.083,12.994
128,256,200.659,115.059,137.733,99053568,78.46,52.084,10.842
129,256,192.017,147.011,126.381,108249088,78.53,55.223,10.413
130,256,169.020,83.431,124.875,73625600,78.63,36.099,8.046
131,256,168.650,110.503,124.540,79572992,78.72,36.095,8.014
132,256,145.387,44.324,121.094,36880384,78.85,20.154,4.139
133,256,187.988,136.258,128.054,99586048,78.92,48.029,11.905
134,256,169.987,112.308,124.261,79593472,79.01,37.075,8.651
135,256,208.590,190.878,127.105,148852736,79.05,66.239,15.246
136,256,143.205,47.264,120.873,36130816,79.17,18.672,3.660
137,256,220.001,260.219,122.378,192077824,79.18,78.535,19.088
138,256,304.914,530.915,134.251,379920384,79.04,131.040,39.623
139,256,190.334,145.580,125.598,113332224,79.11,53.465,11.271
140,256,177.906,82.928,126.547,76603392,79.19,43.024,8.336
141,256,256.802,270.355,167.761,192819200,79.20,69.804,19.237
142,256,214.812,273.692,114.913,195805184,79.20,75.974,23.926
143,256,249.235,369.310,116.955,257265664,79.16,101.994,30.285
144,256,238.554,374.996,113.269,258621440,79.12,94.853,30.432
145,256,178.657,167.245,111.333,121311232,79.17,53.092,14.232
146,256,175.963,148.859,119.777,104038400,79.24,43.812,12.374
147,256,469.285,279.675,367.549,202326016,79.23,78.202,23.534
148,256,473.210,224.611,387.358,156057600,79.26,67.304,18.548
