step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,24,1058.353,4057.137,369.714,1799471104,0.31,497.287,191.352
2,24,694.376,2965.298,164.250,1362792448,1.81,391.159,138.967
3,24,717.670,2687.538,227.395,1217306624,3.54,359.677,130.599
4,24,807.500,2340.686,366.831,1058553856,5.51,324.084,116.585
5,24,869.330,2512.448,376.664,1151082496,7.07,357.459,135.206
6,24,784.651,1704.997,397.542,873324544,9.14,284.970,102.139
7,24,1282.481,4395.462,590.087,1812721664,8.96,483.086,209.308
8,24,1048.656,3313.344,446.577,1455460352,9.55,438.051,164.028
9,24,957.809,2611.290,488.704,1230479360,10.55,330.902,138.202
10,24,930.639,3834.816,401.243,1667145728,10.63,340.788,188.607
11,24,939.693,4305.744,356.466,1839185920,10.37,381.889,201.338
12,24,873.224,3912.118,325.005,1680424960,10.42,363.797,184.422
13,24,1004.688,4105.358,417.079,1772982272,10.30,389.163,198.445
14,24,872.422,3977.483,264.011,1746583552,10.24,417.446,190.965
15,24,852.586,3683.932,309.405,1640681472,10.35,362.802,180.380
16,24,721.680,2613.337,290.432,1256992768,11.08,294.077,137.171
17,24,766.926,3103.720,287.202,1402523648,11.53,324.617,155.107
18,24,750.743,2905.995,265.923,1323167744,12.08,339.276,145.544
19,24,864.646,3892.138,342.579,1667145728,12.09,338.624,183.443
20,24,1007.317,3690.167,456.228,1653870592,12.12,361.077,190.012
21,24,893.592,3725.121,348.093,1614258176,12.20,368.185,177.315
22,24,676.630,2566.470,204.560,1217290240,12.82,339.943,132.127
23,24,807.115,3671.211,218.912,1627447296,12.86,418.178,170.026
24,24,686.849,2563.630,232.935,1230565376,13.42,326.380,127.534
# summary tokens=24 s/tok=0.870 tok/s=1.150 read_MiB=33666.1 io_s=79.14 compute_s/tok=0.339 io_s/tok=3.297 cache_hit_pct=13.4 n_prompt=85 load_s=68.421 prefill_s=21.285 prefill_tps=3.99 stall_s/tok=0.368 mgmt_s/tok=0.162 cache_resident_MiB=2987.8 cache_budget_MiB=3000.0 cache_resizes=0 spec_read_MiB=0.0 spec_experts=0 spec_useful=0
