step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,256,774.600,912.063,509.759,670187520,4.51,186.530,78.311
2,256,283.806,591.241,118.413,448008192,10.19,116.998,48.395
3,256,549.639,673.135,354.640,516059136,14.21,131.540,63.459
4,256,194.243,362.674,85.484,285880320,19.36,74.979,33.779
5,256,194.882,358.218,86.544,283791360,23.73,72.861,35.478
6,256,422.634,402.715,298.265,287096832,27.43,88.856,35.512
7,256,148.895,223.838,80.820,170704896,31.33,48.487,19.588
8,256,192.399,349.833,85.291,278925312,34.10,73.180,33.928
9,256,214.273,424.237,88.173,329932800,36.27,86.137,39.963
10,256,217.639,418.045,90.859,325472256,38.20,84.987,41.793
11,256,191.573,354.608,86.545,272781312,40.18,71.599,33.429
12,256,149.836,228.372,81.725,174821376,42.42,47.089,21.022
13,256,402.276,486.603,260.785,391372288,43.52,93.983,47.508
14,256,172.352,297.958,84.519,234639360,45.15,59.601,28.232
15,256,276.149,619.257,97.664,499077120,45.56,120.295,58.191
16,256,181.643,279.197,97.146,216551424,47.06,61.432,23.064
17,256,155.320,186.038,91.635,142012416,48.69,47.582,16.103
18,256,165.459,256.234,88.206,195514368,49.99,53.981,23.272
19,256,418.941,484.638,279.072,370913280,50.62,94.690,45.178
20,256,170.702,272.280,87.913,207396864,51.73,56.788,26.001
21,256,162.056,260.388,83.911,203513856,52.77,53.543,24.602
22,256,135.132,155.195,84.417,122535936,53.99,34.811,15.905
23,256,123.691,130.994,83.228,98598912,55.19,28.187,12.275
24,256,172.618,302.318,83.742,234467328,55.93,61.075,27.801
25,256,138.387,176.299,83.540,137895936,56.91,38.318,16.530
26,256,130.195,146.048,84.430,110481408,57.89,31.901,13.864
27,256,148.380,188.427,91.792,139984896,58.73,39.296,17.292
28,256,140.483,165.088,86.183,123346944,59.58,39.166,15.134
29,256,136.307,161.203,82.247,127463424,60.37,38.174,15.887
30,256,111.413,81.422,83.407,57790464,61.29,20.300,7.706
31,256,135.080,131.102,90.298,99581952,62.06,33.082,11.700
32,256,131.142,151.604,84.190,116219904,62.75,32.733,14.219
33,256,119.928,81.487,93.509,56340480,63.54,18.598,7.821
34,256,495.667,588.610,322.907,470962176,63.39,114.786,57.974
35,256,259.240,581.312,88.327,470962176,63.25,114.333,56.580
36,256,247.005,544.783,87.950,446152704,63.17,104.200,54.855
37,256,173.503,297.969,84.920,238522368,63.51,60.142,28.441
38,256,138.024,176.889,83.720,138940416,64.04,36.842,17.462
39,256,171.966,298.632,83.580,239566848,64.35,60.193,28.193
40,256,154.105,187.452,91.090,146128896,64.81,46.045,16.970
41,256,199.643,387.158,85.675,309817344,64.97,77.087,36.881
42,256,249.042,544.473,87.033,461512704,64.84,106.284,55.725
43,256,259.544,590.292,89.019,487305216,64.67,110.852,59.673
44,256,154.155,231.173,84.490,182587392,65.03,47.746,21.919
45,256,164.909,269.149,84.368,215568384,65.33,54.887,25.654
46,256,135.667,175.606,83.651,137318400,65.74,35.140,16.875
47,256,136.311,151.553,86.041,115580928,66.18,35.558,14.713
48,256,148.660,218.060,83.706,170127360,66.51,44.104,20.850
49,256,174.540,302.620,84.505,245305344,66.71,60.975,29.060
50,256,208.368,335.341,114.602,265592832,66.87,60.490,33.276
51,256,382.689,342.850,282.264,264843264,67.02,68.523,31.902
52,256,159.644,250.490,84.648,199974912,67.27,50.820,24.176
53,256,164.815,274.919,84.481,220729344,67.48,53.899,26.435
54,256,123.284,117.581,85.204,93843456,67.87,25.695,12.385
55,256,116.552,100.093,84.083,72744960,68.28,23.072,9.397
56,256,129.945,137.431,86.798,100626432,68.64,30.237,12.910
57,256,408.382,441.113,279.104,351092736,68.63,86.854,42.424
58,256,130.381,151.842,83.931,117841920,68.94,31.190,15.261
59,256,106.024,66.899,83.926,49385472,69.34,15.174,6.924
60,256,146.845,194.719,84.977,151867392,69.59,43.299,18.569
61,256,221.620,454.534,88.594,373985280,69.55,88.037,44.989
62,256,179.859,316.557,86.827,255160320,69.65,61.937,31.095
63,256,137.248,162.124,85.660,129318912,69.91,35.383,16.204
64,256,133.569,141.937,88.132,110481408,70.19,31.459,13.978
65,256,161.497,258.140,83.298,207802368,70.34,53.188,25.010
66,256,355.059,869.310,101.118,747220992,69.83,162.212,91.729
67,256,198.725,380.630,86.216,300023808,69.87,76.612,35.897
68,256,168.488,278.334,85.871,218468352,70.01,56.070,26.546
69,256,183.209,332.889,86.358,264781824,70.08,64.574,32.278
70,256,186.175,337.566,85.743,269475840,70.16,68.019,32.413
71,256,136.885,163.855,83.948,126652416,70.39,37.028,15.909
72,256,155.651,237.749,84.599,188964864,70.55,48.265,22.787
73,256,185.903,341.092,85.344,270692352,70.61,68.112,32.447
74,256,163.028,264.320,83.275,211279872,70.74,54.250,25.503
75,256,183.162,333.046,86.214,260493312,70.81,66.110,30.838
76,256,640.899,533.413,489.579,400306176,70.72,101.858,49.463
77,256,182.273,315.709,88.448,258404352,70.79,61.820,32.005
78,256,141.761,176.607,87.876,139751424,70.98,36.662,17.223
79,256,191.003,317.738,96.348,250404864,71.06,62.626,32.029
80,256,639.037,610.532,456.834,480694272,70.90,124.021,58.182
81,256,160.448,187.796,102.060,147345408,71.08,39.942,18.446
82,256,330.836,821.191,86.737,692035584,70.71,162.396,81.703
83,256,402.665,469.010,270.911,371380224,70.66,86.859,44.896
84,256,260.734,562.440,97.664,459485184,70.52,111.571,51.498
85,256,191.879,278.544,100.257,223973376,70.63,67.333,24.289
86,256,236.507,467.774,110.148,377462784,70.58,84.313,42.046
87,256,216.769,233.033,147.986,179109888,70.72,48.778,20.006
88,256,294.821,167.130,236.618,108797952,70.92,43.879,14.324
89,256,167.229,215.702,102.149,165199872,71.07,44.366,20.714
90,256,448.589,626.132,262.710,501854208,70.90,124.310,61.568
91,256,215.244,415.413,90.006,336654336,70.90,84.493,40.746
92,256,142.561,187.056,85.342,145489920,71.06,38.388,18.832
93,256,173.440,302.686,84.946,243855360,71.13,59.692,28.802
94,256,350.289,212.892,281.385,157138944,71.27,48.734,20.171
95,256,140.107,162.279,89.807,125607936,71.45,34.789,15.511
96,256,173.728,289.944,86.953,221306880,71.53,60.140,26.634
97,256,312.562,754.942,88.255,636334080,71.25,147.163,77.143
98,256,240.730,522.344,88.770,427659264,71.16,100.949,51.011
99,256,172.643,295.091,85.991,234233856,71.23,58.419,28.233
100,256,208.655,402.759,88.692,323555328,71.23,81.139,38.824
101,256,190.036,343.691,87.245,278286336,71.27,68.367,34.424
102,256,149.329,200.182,86.515,155516928,71.40,43.370,19.444
103,256,182.881,323.796,87.423,263331840,71.45,63.627,31.831
104,256,140.501,161.736,88.587,129896448,71.60,35.470,16.444
105,256,183.269,317.915,86.657,249999360,71.65,66.795,29.816
106,256,116.814,98.423,85.300,70717440,71.85,21.986,9.528
107,256,204.215,401.733,86.041,322510848,71.84,79.856,38.319
108,256,147.843,179.261,92.353,138940416,71.98,38.018,17.471
109,256,121.900,101.572,87.137,77266944,72.16,24.487,10.276
110,256,143.728,162.125,90.492,126652416,72.30,37.453,15.783
111,256,159.796,237.148,87.932,183226368,72.39,49.542,22.322
112,256,162.559,247.792,87.775,194641920,72.48,51.033,23.752
113,256,256.059,570.988,89.695,472350720,72.35,108.532,57.831
114,256,158.657,227.811,89.068,181776384,72.45,47.508,22.081
115,256,274.768,631.701,87.718,517386240,72.29,124.128,62.922
116,256,144.648,185.774,87.107,147750912,72.41,38.545,18.996
117,256,129.307,117.461,90.275,88510464,72.57,27.564,11.468
118,256,224.871,417.664,108.830,334454784,72.55,78.180,37.860
