step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,24,10836.764,0.000,10836.764,0,-1.00,0.000,0.000
2,24,10785.654,0.000,10785.654,0,-1.00,0.000,0.000
3,24,11171.540,0.000,11171.540,0,-1.00,0.000,0.000
4,24,11111.790,0.000,11111.790,0,-1.00,0.000,0.000
5,24,10769.300,0.000,10769.300,0,-1.00,0.000,0.000
6,24,10952.466,0.000,10952.466,0,-1.00,0.000,0.000
7,24,11172.048,0.000,11172.048,0,-1.00,0.000,0.000
8,24,11054.995,0.000,11054.995,0,-1.00,0.000,0.000
9,24,11189.017,0.000,11189.017,0,-1.00,0.000,0.000
10,24,11374.642,0.000,11374.642,0,-1.00,0.000,0.000
11,24,10651.579,0.000,10651.579,0,-1.00,0.000,0.000
12,24,11023.342,0.000,11023.342,0,-1.00,0.000,0.000
13,24,10952.247,0.000,10952.247,0,-1.00,0.000,0.000
14,24,10956.470,0.000,10956.470,0,-1.00,0.000,0.000
15,24,11160.698,0.000,11160.698,0,-1.00,0.000,0.000
16,24,10679.319,0.000,10679.319,0,-1.00,0.000,0.000
17,24,10859.058,0.000,10859.058,0,-1.00,0.000,0.000
18,24,10911.621,0.000,10911.621,0,-1.00,0.000,0.000
19,24,10473.806,0.000,10473.806,0,-1.00,0.000,0.000
20,24,11909.342,0.000,11909.342,0,-1.00,0.000,0.000
21,24,12142.053,0.000,12142.053,0,-1.00,0.000,0.000
22,24,12670.096,0.000,12670.096,0,-1.00,0.000,0.000
23,24,12380.140,0.000,12380.140,0,-1.00,0.000,0.000
24,24,12570.373,0.000,12570.373,0,-1.00,0.000,0.000
# summary tokens=24 s/tok=11.240 tok/s=0.089 read_MiB=0.0 io_s=0.00 compute_s/tok=0.000 io_s/tok=0.000 cache_hit_pct=-1.0 n_prompt=85 load_s=45.153 prefill_s=35.141 prefill_tps=2.42 stall_s/tok=0.000 mgmt_s/tok=0.000 cache_resident_MiB=0.0 cache_budget_MiB=0.0 cache_resizes=0 spec_read_MiB=0.0 spec_experts=0 spec_useful=0
