step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,256,3198.122,356.752,2961.365,261070848,6.53,146.198,90.558
2,256,252.714,361.093,120.207,267456512,11.71,59.768,72.739
3,256,184.018,203.823,109.689,143130624,17.46,53.545,20.784
4,256,350.114,316.822,232.192,229818368,21.39,87.939,29.983
5,256,225.315,240.347,117.211,183578624,25.23,87.583,20.521
6,256,227.871,250.305,119.920,186515456,28.52,87.226,20.725
7,256,215.184,185.383,135.774,135192576,31.85,63.567,15.843
8,256,622.375,151.242,544.100,105406464,34.98,61.384,16.892
9,256,215.831,158.406,139.914,110526464,37.74,63.524,12.392
10,256,212.112,235.632,115.429,179900416,39.70,75.466,21.218
11,256,191.200,195.402,108.071,149610496,41.69,65.811,17.318
12,256,174.914,152.435,110.418,103415808,43.81,52.978,11.519
13,256,166.825,97.846,109.267,79470592,45.86,48.050,9.508
14,256,202.792,146.864,125.422,109740032,47.54,63.889,13.482
15,256,162.104,121.871,106.549,96083968,49.18,44.506,11.049
16,256,141.813,42.998,111.681,41951232,50.99,24.564,5.568
17,256,158.371,96.269,106.147,77979648,52.45,42.467,9.756
18,256,168.661,87.530,119.049,65064960,53.88,41.303,8.309
19,256,149.016,57.505,112.038,47648768,55.30,30.944,6.034
20,256,170.002,54.150,135.415,39727104,56.65,29.241,5.347
21,256,192.806,162.267,112.469,131510272,57.48,63.833,16.503
22,256,178.836,109.280,115.772,88150016,58.46,52.663,10.401
23,256,122.074,22.927,107.453,20975616,59.67,11.600,3.021
24,256,134.755,43.196,105.471,38973440,60.73,24.235,5.049
25,256,147.998,21.506,131.741,15884288,61.82,13.567,2.690
26,256,147.188,48.131,116.761,41111552,62.74,24.965,5.461
27,256,194.443,152.604,121.948,109142016,63.36,59.318,13.177
28,256,174.545,150.934,107.526,114855936,63.91,53.498,13.521
29,256,178.256,68.366,131.095,54865920,64.66,39.455,7.707
30,256,207.662,166.624,128.147,122781696,65.12,64.810,14.705
31,256,214.516,285.069,108.936,204378112,65.27,82.925,22.655
32,256,163.802,115.909,108.181,93999104,65.81,44.264,11.357
33,256,218.413,198.536,127.477,144429056,66.13,74.202,16.734
34,256,230.743,300.562,115.960,209575936,66.25,89.906,24.878
35,256,190.986,107.504,128.803,78098432,66.78,52.131,10.051
36,256,157.918,99.030,106.999,77934592,67.27,40.898,10.020
37,256,140.287,63.341,107.278,49164288,67.84,26.942,6.067
38,256,191.214,87.731,136.653,65052672,68.33,46.082,8.479
39,256,248.538,406.258,111.179,291500032,68.11,104.159,33.200
40,256,137.634,47.520,108.922,40472576,68.65,23.285,5.427
41,256,182.958,96.783,131.195,67178496,69.09,43.890,7.873
42,256,406.646,74.047,364.500,54140928,69.54,34.658,7.488
43,256,161.219,40.685,140.734,25325568,70.06,16.448,4.036
44,256,159.153,137.971,108.008,89542656,70.39,40.296,10.849
45,256,168.541,80.480,126.435,60080128,70.79,34.011,8.095
46,256,204.444,155.560,133.947,110497792,71.04,56.968,13.529
47,256,181.650,170.235,107.723,134496256,71.23,58.237,15.690
48,256,209.565,259.253,108.398,187109376,71.28,80.076,21.092
49,256,205.683,236.711,111.651,176926720,71.34,73.769,20.263
50,256,194.708,143.554,123.926,101933056,71.59,58.680,12.102
51,256,157.985,26.083,145.509,18743296,72.02,9.171,3.305
52,256,175.655,71.261,132.121,53514240,72.36,36.664,6.871
53,256,156.954,88.067,108.036,75878400,72.64,39.410,9.508
54,256,177.906,78.461,126.998,62816256,72.93,43.080,7.828
55,256,186.819,109.276,128.042,80211968,73.18,48.556,10.221
56,256,194.674,218.122,106.219,161046528,73.24,70.140,18.315
57,256,265.309,446.167,112.389,319213568,72.96,116.944,35.976
58,256,237.738,244.348,126.166,169840640,73.02,91.390,20.182
59,256,193.708,95.453,128.561,78721024,73.25,54.344,10.803
60,256,159.613,89.805,107.100,78106624,73.49,42.931,9.582
61,256,216.879,259.912,109.462,197853184,73.47,84.316,23.101
62,256,200.349,208.741,111.360,161148928,73.53,70.171,18.818
63,256,184.645,170.010,107.615,130719744,73.64,61.962,15.068
64,256,213.377,132.845,131.977,109010944,73.79,68.370,13.030
65,256,192.179,178.552,113.064,139321344,73.88,63.483,15.632
66,256,180.317,173.199,108.813,126517248,73.99,56.931,14.573
67,256,554.165,503.442,379.554,336461824,73.71,134.579,40.031
68,256,216.337,190.910,140.009,137314304,73.80,59.244,17.084
69,256,193.533,123.554,124.117,100425728,73.96,57.196,12.220
70,256,259.883,412.155,116.531,293216256,73.77,109.743,33.608
71,256,226.132,210.046,125.855,164634624,73.81,81.310,18.967
72,256,176.961,165.720,110.104,127148032,73.91,52.410,14.446
73,256,234.970,310.198,119.559,228241408,73.84,89.033,26.378
74,256,189.111,99.164,130.047,80961536,74.02,48.990,10.074
75,256,178.695,149.887,109.598,109867008,74.15,55.521,13.576
76,256,136.237,51.018,109.034,45563904,74.38,21.375,5.827
77,256,504.485,259.832,396.136,190607360,74.36,86.060,22.289
78,256,195.470,159.886,119.138,125800448,74.46,61.273,15.059
79,256,184.268,119.102,122.347,86781952,74.62,50.936,10.984
80,256,207.224,187.646,121.181,140156928,74.68,70.027,16.016
81,256,146.039,77.701,107.483,62947328,74.87,30.692,7.864
82,256,166.008,120.302,109.866,86790144,75.02,45.588,10.553
83,256,142.375,54.382,110.689,46317568,75.23,25.577,6.109
84,256,217.625,204.698,133.807,151494656,75.25,67.355,16.463
85,256,230.731,230.285,125.392,163270656,75.27,85.314,20.025
86,256,174.101,132.358,112.925,103297024,75.38,49.048,12.128
87,256,200.954,161.141,125.901,114225152,75.48,61.076,13.976
88,256,153.227,95.226,110.973,69398528,75.63,33.759,8.495
89,256,165.723,46.908,133.247,36745216,75.82,27.349,5.127
90,256,160.302,110.654,108.802,83820544,75.95,41.600,9.900
91,256,160.873,104.592,109.712,80965632,76.08,41.652,9.509
92,256,130.973,39.530,108.592,33886208,76.27,17.630,4.751
93,256,149.150,80.967,110.451,54878208,76.42,31.284,7.416
94,256,159.775,136.113,108.004,96219136,76.53,40.445,11.326
95,256,202.538,227.787,109.832,163160064,76.53,73.413,19.293
96,256,194.577,159.072,121.388,117063680,76.60,58.281,14.908
97,256,227.654,246.694,125.469,164036608,76.61,82.274,19.912
98,256,242.390,338.858,118.810,227450880,76.52,97.311,26.268
99,256,146.666,60.728,109.503,52748288,76.67,29.957,7.206
100,256,184.641,101.394,129.164,70897664,76.80,46.553,8.924
101,256,159.543,35.772,136.428,24588288,76.98,19.482,3.633
102,256,154.194,117.110,108.546,80932864,77.09,35.530,10.117
103,256,178.303,154.289,110.193,121425920,77.14,53.993,14.117
104,256,175.525,74.124,133.802,54870016,77.28,34.880,6.843
105,256,215.743,239.769,115.725,184975360,77.25,78.209,21.810
106,256,278.116,375.306,132.963,257929216,77.14,114.519,30.634
107,256,236.512,250.762,129.742,171286528,77.13,85.539,21.232
108,256,227.476,238.650,123.167,167706624,77.13,83.910,20.400
109,256,203.684,158.537,132.283,110505984,77.20,58.102,13.299
110,256,182.535,139.618,108.753,119222272,77.25,59.545,14.237
111,256,238.705,255.759,135.714,175423488,77.23,82.644,20.347
112,256,199.233,177.877,119.791,129388544,77.27,64.352,15.090
113,256,206.870,163.054,125.649,119320576,77.32,66.323,14.897
114,256,193.323,69.022,144.312,53506048,77.45,41.838,7.173
115,256,159.242,90.467,116.100,61468672,77.56,35.019,8.123
116,256,205.532,129.886,129.383,104062976,77.63,63.313,12.836
117,256,183.365,158.933,109.265,131514368,77.66,58.363,15.738
118,256,182.074,177.063,110.007,127160320,77.70,57.223,14.844
119,256,170.127,135.315,114.813,95465472,77.77,43.852,11.462
120,256,124.359,22.611,108.232,23076864,77.92,12.888,3.239
121,256,181.284,122.706,122.224,98951168,77.98,46.912,12.148
122,256,173.426,98.643,115.681,88891392,78.06,46.607,11.138
123,256,179.699,86.024,131.580,62181376,78.16,40.109,8.010
124,256,199.062,213.879,110.659,159539200,78.15,70.358,18.045
125,256,196.679,208.884,110.738,150355968,78.16,69.446,16.495
126,256,167.736,133.850,109.637,101777408,78.22,46.397,11.702
127,256,186.835,113.433,125.908,87416832,78.29,49.753,11.174
128,256,180.722,92.890,131.136,67932160,78.38,40.734,8.851
129,256,138.131,58.185,110.218,40472576,78.49,22.579,5.333
130,256,146.443,14.201,134.456,12296192,78.64,9.621,2.365
131,256,156.682,98.588,110.053,78839808,78.71,37.479,9.150
132,256,164.740,121.833,108.280,95350784,78.77,44.613,11.848
133,256,161.413,47.675,135.273,32514048,78.89,21.466,4.674
134,256,213.074,238.114,115.854,181366784,78.86,75.927,21.292
135,256,216.747,202.202,130.368,140169216,78.87,69.425,16.955
136,256,156.535,102.721,109.186,78733312,78.94,37.830,9.519
137,256,170.121,51.713,134.731,47673344,79.04,29.076,6.314
138,256,190.913,162.434,117.865,109744128,79.08,59.512,13.536
139,256,173.131,91.676,123.725,70156288,79.15,40.223,9.183
140,256,174.624,127.250,109.602,101961728,79.20,52.787,12.235
141,256,165.793,118.709,110.034,93884416,79.25,44.188,11.571
142,256,151.954,81.279,110.373,65052672,79.33,33.541,8.040
143,256,222.111,175.297,136.265,128638976,79.35,70.349,15.497
144,256,192.675,107.225,129.698,80961536,79.41,52.419,10.557
145,256,206.890,144.495,131.060,102539264,79.45,62.956,12.875
146,256,193.813,107.426,130.010,81698816,79.51,53.188,10.615
147,256,125.095,19.203,111.107,18755584,79.62,10.875,3.113
148,256,202.402,122.605,128.419,97492992,79.67,62.029,11.954
149,256,132.703,47.030,109.707,36876288,79.76,18.250,4.746
150,256,168.270,130.247,109.045,96116736,79.81,47.110,12.115
151,256,166.302,99.914,118.460,68644864,79.87,39.378,8.464
152,256,226.146,222.370,130.134,151728128,79.87,77.860,18.152
153,256,237.738,343.732,111.927,235401216,79.79,98.965,26.846
154,256,190.626,181.271,113.650,138063872,79.79,60.821,16.155
155,256,219.793,299.535,112.384,207335424,79.74,83.855,23.554
156,256,186.036,156.941,111.131,125014016,79.76,59.624,15.281
157,256,187.362,120.878,131.137,83722240,79.81,46.014,10.212
158,256,178.092,81.510,134.665,61337600,79.88,35.384,8.042
159,256,193.085,112.786,129.434,85307392,79.93,53.112,10.540
160,256,191.736,154.114,122.322,111259648,79.95,55.253,14.161
161,256,189.250,54.336,148.142,44064768,80.03,34.772,6.336
162,256,201.676,209.055,115.921,157523968,80.02,66.650,19.105
163,256,212.149,167.694,130.526,119926784,80.04,66.839,14.784
164,256,404.471,123.072,341.729,93245440,80.09,50.721,12.021
165,256,201.345,147.439,131.003,104046592,80.12,57.324,13.018
166,256,182.940,78.252,134.964,60719104,80.18,39.887,8.089
167,256,161.272,107.862,109.658,80961536,80.23,42.115,9.498
168,256,151.709,74.387,109.730,64331776,80.29,33.587,8.393
