step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,24,18444.469,1434.943,18057.874,846819328,0.44,185.091,201.505
2,24,12047.519,1119.087,11697.302,727678976,1.32,141.283,208.934
3,24,10765.038,752.676,10497.900,502779904,2.99,115.660,151.478
4,24,11604.801,437.855,11449.545,304320512,5.29,75.429,79.827
5,24,11175.080,1300.312,10797.753,846843904,5.49,152.812,224.515
6,24,10516.702,860.653,10242.593,568983552,6.63,97.333,176.776
7,24,10995.198,967.256,10691.869,608595968,7.57,127.940,175.389
8,24,11182.441,649.497,10981.643,410181632,9.10,60.091,140.707
9,24,9933.237,441.666,9755.808,291090432,10.91,91.439,85.990
10,24,10106.322,271.823,9999.342,198496256,12.89,32.529,74.450
11,24,4735.812,751.180,4490.409,476319744,13.94,101.128,144.275
12,24,3991.907,511.655,3772.766,343977984,15.32,113.332,105.810
13,24,3288.345,661.689,3019.564,476340224,16.25,129.247,139.535
14,24,3649.362,1242.030,3187.159,820322304,16.18,226.773,235.430
15,24,2459.888,972.261,2004.190,701255680,16.44,279.312,176.386
16,24,1353.865,1064.276,952.397,780603392,16.48,272.661,128.806
17,24,630.391,832.347,304.810,635072512,16.89,243.593,81.988
18,24,1262.419,777.094,940.047,595460096,17.38,248.359,74.013
19,24,871.773,666.893,596.213,529231872,18.00,189.903,85.657
20,24,1376.196,675.256,1072.252,489545728,18.69,232.314,71.630
21,24,2693.381,1032.151,2275.299,754167808,18.74,302.827,115.256
22,24,909.236,675.266,650.423,476327936,19.41,172.563,86.250
23,24,1868.963,817.965,1533.735,608661504,19.77,255.149,80.079
24,24,1243.520,629.653,983.151,489562112,20.36,188.070,72.300
# summary tokens=24 s/tok=6.129 tok/s=0.163 read_MiB=12858.0 io_s=19.55 compute_s/tok=5.831 io_s/tok=0.814 cache_hit_pct=20.4 n_prompt=85 load_s=58.331 prefill_s=20.696 prefill_tps=4.11 stall_s/tok=0.168 mgmt_s/tok=0.130 cache_resident_MiB=2987.8 cache_budget_MiB=3000.0 cache_resizes=0 spec_read_MiB=0.0 spec_experts=0 spec_useful=0
