step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,256,310.685,436.583,175.788,442269696,4.81,80.391,54.505
2,256,170.006,292.971,74.702,296951808,10.39,59.256,36.049
3,256,192.701,359.847,77.526,360308736,14.32,71.247,43.928
4,256,137.566,203.476,71.210,188325888,19.30,44.069,22.288
5,256,325.413,246.995,244.959,226406400,23.25,54.857,25.597
6,256,492.373,238.211,420.405,210468864,26.76,47.674,24.294
7,256,132.179,181.160,72.653,161894400,30.19,38.952,20.574
8,256,132.094,182.213,72.188,169254912,33.17,39.792,20.113
9,256,156.526,272.499,69.808,259043328,35.19,57.191,29.528
10,256,161.274,273.420,73.066,262348800,36.95,58.172,30.037
11,256,165.950,240.414,87.478,222990336,38.78,54.157,24.315
12,256,141.805,170.457,82.061,158822400,40.82,42.693,17.051
13,256,188.231,350.909,76.119,340131328,41.69,73.375,38.737
14,256,142.865,210.289,74.346,193425408,43.25,44.846,23.673
15,256,204.649,424.626,72.287,425521152,43.45,83.978,48.383
16,256,139.704,191.371,74.543,172904448,44.92,44.471,20.690
17,256,116.450,127.602,70.915,116391936,46.53,31.725,13.810
18,256,138.641,181.105,77.465,169082880,47.77,40.935,20.240
19,256,155.684,244.852,76.936,226467840,48.66,50.839,27.909
20,256,116.978,121.667,74.540,107814912,49.99,29.109,13.329
21,256,117.036,128.061,70.315,113958912,51.21,33.158,13.563
22,256,111.209,107.673,70.137,95293440,52.43,29.525,11.546
23,256,103.034,93.259,71.031,81383424,53.61,21.245,10.758
24,256,102.985,91.645,71.325,75239424,54.75,22.410,9.250
25,256,97.923,74.086,70.890,64745472,55.86,18.823,8.210
26,256,116.710,83.013,84.148,70717440,56.89,23.565,8.998
27,256,121.001,118.742,76.643,102076416,57.75,32.094,12.264
28,256,122.400,143.103,73.309,128274432,58.48,33.392,15.700
29,256,119.394,111.308,77.238,93032448,59.29,30.994,11.161
30,256,87.951,41.453,71.137,31764480,60.24,12.117,4.697
31,256,102.205,78.659,74.508,69672960,61.03,18.285,9.413
32,256,99.119,77.900,70.005,68050944,61.79,20.425,8.689
33,256,90.679,34.860,76.408,30314496,62.62,9.913,4.358
34,256,166.272,305.790,71.355,291213312,62.68,61.203,33.714
35,256,174.489,308.049,75.862,306167808,62.69,62.311,36.316
36,256,183.586,346.637,75.773,336138240,62.61,66.973,40.839
37,256,134.813,177.021,75.231,156561408,63.01,40.032,19.550
38,256,114.901,104.329,78.937,93032448,63.57,24.381,11.583
39,256,134.350,188.758,70.764,174415872,63.89,43.118,20.468
40,256,108.302,90.644,75.105,81149952,64.43,22.905,10.293
41,256,152.022,238.796,75.003,230117376,64.59,49.683,27.336
42,256,316.453,139.795,262.009,112508928,65.03,34.509,19.935
43,256,102.338,34.229,88.355,26431488,65.64,10.988,2.995
44,256,122.721,139.554,73.546,120913920,66.02,33.931,15.245
45,256,120.717,138.387,72.867,123985920,66.37,32.641,15.209
46,256,105.787,84.357,74.838,75411456,66.82,21.515,9.434
47,256,108.488,85.540,76.687,74194944,67.26,24.012,7.790
48,256,140.295,158.322,83.027,142245888,67.53,41.079,16.189
49,256,142.513,145.627,91.110,119697408,67.84,39.245,12.159
50,256,114.686,81.620,81.030,67645440,68.25,26.439,7.218
51,256,143.077,185.761,82.637,172388352,68.42,42.222,18.218
52,256,112.269,78.123,78.355,66600960,68.81,26.407,7.508
53,256,105.216,75.698,75.748,63123456,69.19,22.481,6.987
54,256,104.969,78.626,76.368,67817472,69.56,19.949,8.652
55,256,91.336,44.178,75.004,38313984,69.96,10.575,5.757
56,256,109.549,105.643,73.053,88338432,70.26,25.361,11.134
57,256,173.025,319.063,71.176,304779264,70.15,67.249,34.599
58,256,117.582,104.113,78.602,87932928,70.44,27.639,11.341
59,256,99.458,55.292,76.947,46718976,70.79,15.673,6.838
60,256,122.858,149.989,72.094,136273920,70.98,34.242,16.522
61,256,160.009,267.529,74.633,247566336,70.97,55.511,29.865
62,256,133.498,181.520,72.700,165199872,71.09,41.055,19.743
63,256,106.931,94.086,72.328,80744448,71.36,24.348,10.256
64,256,103.967,82.725,74.504,72978432,71.63,20.181,9.283
65,256,124.876,150.025,72.596,144273408,71.78,34.795,17.486
66,256,166.152,279.320,74.906,280952832,71.71,57.088,34.158
67,256,131.992,165.393,76.843,152272896,71.84,36.276,18.872
68,256,129.978,177.128,70.823,161894400,71.95,40.103,19.052
69,256,351.921,222.695,277.772,193658880,72.01,50.340,23.809
70,256,131.549,145.625,78.741,127868928,72.17,36.558,16.250
71,256,98.502,73.349,71.658,58195968,72.44,18.953,7.891
72,256,132.228,183.412,73.104,168271872,72.52,38.862,20.262
73,256,152.523,230.846,74.426,220495872,72.54,51.718,26.379
74,256,107.595,83.929,76.377,69672960,72.77,21.839,9.379
75,256,131.935,165.140,77.261,145317888,72.88,37.314,17.361
76,256,210.739,395.173,89.778,390389760,72.65,77.739,43.222
77,256,193.028,280.923,102.945,262926336,72.60,60.656,29.427
78,256,111.834,75.771,79.192,64745472,72.83,25.615,7.027
79,256,95.244,35.473,79.163,25620480,73.10,12.600,3.480
80,256,120.443,103.216,81.162,86888448,73.29,29.789,9.492
81,256,127.952,89.127,93.451,72339456,73.49,26.078,8.423
82,256,132.422,168.629,73.987,153894912,73.58,39.646,18.789
83,256,137.650,190.073,75.081,173371392,73.64,41.642,20.927
84,256,143.595,214.457,75.277,196325376,73.67,45.058,23.260
85,256,109.190,95.261,73.629,80338944,73.85,24.732,10.829
86,256,109.245,83.752,76.534,71933952,74.03,23.432,9.280
87,256,143.199,209.395,73.702,193019904,74.06,46.587,22.910
88,256,142.210,210.076,72.910,189542400,74.10,47.031,22.269
89,256,146.171,219.078,74.571,202469376,74.11,47.017,24.582
90,256,140.213,188.598,76.453,175398912,74.17,42.508,21.253
91,256,99.061,63.562,74.009,52051968,74.36,17.543,7.509
92,256,95.284,68.858,72.468,52862976,74.55,15.834,6.981
93,256,247.545,548.776,74.938,588165120,74.11,103.829,68.778
94,256,180.433,330.930,77.109,308428800,74.00,66.126,37.198
95,256,128.472,149.839,77.148,133201920,74.09,34.841,16.483
96,256,168.650,300.186,73.515,299556864,74.00,59.743,35.392
97,256,162.478,269.289,75.852,262520832,73.95,55.433,31.193
98,256,139.998,202.628,73.564,188325888,73.98,43.842,22.593
99,256,125.832,143.730,76.041,128274432,74.08,34.318,15.473
100,256,116.814,139.233,71.168,122941440,74.19,30.603,15.042
101,256,120.290,116.741,76.711,104509440,74.31,31.983,11.596
102,256,138.943,152.894,82.777,145723392,74.38,39.964,16.202
103,256,94.866,53.971,73.742,44052480,74.56,14.610,6.514
104,256,113.881,114.741,73.935,93671424,74.69,27.755,12.192
105,256,119.174,121.559,75.828,113725440,74.79,28.856,14.491
106,256,371.725,249.496,292.921,213307392,74.79,52.498,26.307
107,256,162.995,250.858,80.958,251387904,74.75,51.561,30.476
108,256,101.127,76.354,72.949,67006464,74.90,19.242,8.936
109,256,151.165,208.886,82.008,195919872,74.91,45.673,23.484
110,256,138.897,180.673,76.879,168443904,74.96,41.303,20.715
111,256,110.259,85.075,78.609,73555968,75.09,22.310,9.340
112,256,115.476,100.447,79.008,88104960,75.21,25.375,11.093
113,256,205.045,418.660,77.597,410910720,75.01,79.005,48.442
114,256,160.632,267.228,76.515,243449856,74.97,54.940,29.178
115,256,180.088,325.783,77.474,319905792,74.86,64.616,37.998
116,256,121.757,135.293,74.990,118013952,74.95,32.171,14.596
117,256,159.370,239.377,82.499,233594880,74.93,50.363,26.508
118,256,173.646,275.405,89.484,272314368,74.88,54.354,29.808
119,256,200.264,229.401,118.796,215162880,74.87,57.292,24.177
120,256,125.772,123.896,80.264,107986944,74.97,33.997,11.510
