# bmoe_metrics v1
# model=LFM2.5-8B-A1B-Q5_K_M.gguf arch=lfm2moe n_layer=24 n_expert=32 n_expert_used=4 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=3000 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=1 prefetch=0 dense_weights=anon
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,96,98.723,143.673,47.261,108580864,13.55,43.807,7.655,5873,350.199,-1.000,0,22.94,3000.0,5979.5,3538.5,2440.7,69.0,3371.9,180.8,8934.2
2,96,108.344,158.846,49.347,110043136,23.34,51.679,7.319,0,358.471,-1.000,0,0.00,3000.0,5936.4,3537.4,2398.7,69.0,3377.2,233.0,8929.4
3,96,96.388,133.548,48.406,93904896,31.02,42.391,5.592,6,319.068,-1.000,0,0.02,3000.0,5891.9,3542.7,2349.0,69.0,3374.7,285.0,8924.7
4,96,63.235,71.818,37.088,55996416,37.65,22.169,3.978,0,206.400,-1.000,0,0.00,3000.0,5886.2,3538.1,2347.7,69.0,3382.8,297.3,8921.9
5,96,91.076,171.168,50.293,101486592,42.32,33.885,6.898,0,291.735,1.000,0,0.00,3000.0,5875.5,3541.2,2334.0,69.0,3382.8,316.7,8916.4
6,96,53.995,46.268,37.222,30814208,47.06,14.056,2.717,0,166.967,1.000,0,0.00,3000.0,5831.1,3541.7,2289.1,69.0,3383.4,363.2,8915.4
7,96,134.835,216.448,51.776,148439040,49.63,72.616,10.443,6,452.995,1.000,0,0.02,3000.0,5770.1,3541.3,2228.5,68.9,3390.9,439.1,8907.7
8,96,90.836,142.122,37.987,109068288,52.24,44.648,8.201,0,316.897,1.000,0,0.00,3000.0,5769.5,3540.7,2228.5,68.9,3373.6,427.5,8903.2
9,96,108.093,203.385,36.277,155533312,54.00,61.099,10.717,0,383.687,1.000,0,0.00,3000.0,5771.7,3543.0,2228.5,68.9,3371.5,425.4,8903.2
10,96,84.223,115.368,37.850,78741504,56.28,41.077,5.295,0,266.448,1.000,0,0.00,3000.0,5772.0,3543.2,2228.5,68.9,3367.1,421.0,8903.2
11,96,101.977,178.610,37.176,132788224,57.78,54.722,10.079,6,357.325,1.000,0,0.02,3000.0,5771.3,3542.5,2228.5,68.9,3366.6,420.5,8903.4
12,96,86.368,126.574,37.316,101486592,59.38,41.902,7.149,1,295.015,1.000,0,0.00,3000.0,5771.9,3543.1,2228.5,68.9,3364.2,418.1,8903.4
13,96,127.958,203.334,45.413,156995584,60.36,70.794,11.750,0,332.628,1.000,0,0.00,3000.0,5770.8,3542.0,2228.5,68.9,3315.0,368.9,8903.4
14,96,75.605,75.461,43.521,54046720,62.01,28.221,3.863,1,149.110,1.000,0,0.00,3000.0,5770.9,3542.1,2228.5,68.9,3279.1,333.0,8903.4
15,96,178.836,275.025,80.972,205897728,62.43,84.467,13.396,6,329.836,1.000,0,0.02,3000.0,5765.1,3536.4,2228.5,68.9,3215.3,269.2,8903.8
16,96,125.340,197.028,51.509,149413888,63.18,62.384,11.446,0,224.908,1.000,0,0.00,3000.0,5711.9,3537.7,2173.8,68.9,3176.7,287.1,8903.8
17,96,54.392,41.602,36.471,30326784,64.64,14.699,3.222,0,176.675,1.000,0,0.00,3000.0,5640.1,3537.3,2102.5,68.9,3206.3,391.5,8904.0
18,96,59.266,50.935,37.991,38395904,65.92,18.444,2.832,0,173.695,1.000,0,0.00,3000.0,5639.1,3536.3,2102.5,68.9,3223.3,408.5,8904.0
19,96,59.025,51.564,38.738,39370752,67.09,17.453,2.833,6,191.351,1.000,0,0.02,3000.0,5639.4,3536.6,2102.5,68.9,3231.1,416.3,8904.0
20,96,90.204,123.007,45.794,92930048,67.85,35.299,9.111,0,262.024,1.000,0,0.00,3000.0,5638.6,3535.8,2102.5,68.9,3240.5,425.7,8904.5
21,96,90.657,121.106,42.500,92930048,68.56,40.577,7.580,0,291.243,1.000,0,0.00,3000.0,5645.4,3542.7,2102.5,68.9,3236.4,421.7,8904.5
22,96,69.703,76.570,40.067,62603264,69.38,25.324,4.311,0,245.649,1.000,0,0.00,3000.0,5645.8,3543.0,2102.5,68.9,3242.1,425.3,8904.5
23,96,76.306,91.610,41.166,62115840,70.15,29.860,5.280,6,179.439,1.000,0,0.02,3000.0,5645.9,3543.2,2102.5,68.9,3252.6,435.8,8904.5
24,96,76.450,76.884,49.422,62603264,70.86,21.298,5.730,0,174.158,1.000,0,0.00,3000.0,5638.9,3536.1,2102.5,68.9,3270.7,452.8,8904.5
25,96,44.125,20.936,35.556,15650816,71.75,7.702,0.868,0,136.945,1.000,0,0.00,3000.0,5645.8,3543.0,2102.5,68.9,3266.9,447.6,8904.5
26,96,53.940,43.663,35.188,30814208,72.51,16.441,2.311,0,169.195,1.000,0,0.00,3000.0,5646.1,3543.3,2102.5,68.9,3271.3,452.1,8904.5
27,96,44.406,20.894,36.038,15163392,73.29,6.998,1.370,6,127.246,1.000,0,0.02,3000.0,5645.9,3543.1,2102.5,68.9,3267.6,448.3,8904.8
28,96,44.327,18.998,36.358,15163392,74.02,6.528,1.441,0,135.428,1.000,0,0.00,3000.0,5645.7,3542.9,2102.5,68.9,3269.2,449.9,8906.2
29,96,40.029,11.150,35.257,7581696,74.75,3.501,1.271,1,119.427,1.000,0,0.00,3000.0,5645.7,3543.0,2102.5,68.9,3272.1,451.8,8906.2
30,96,35.734,0.000,35.431,0,75.47,0.000,0.303,0,109.175,1.000,0,0.00,3000.0,5645.7,3543.0,2102.5,68.9,3272.1,451.8,8906.2
31,96,59.868,52.813,37.612,38883328,75.99,19.224,3.032,6,201.387,1.000,0,0.02,3000.0,5645.7,3542.9,2102.5,68.9,3275.5,447.8,8906.7
32,96,42.351,12.951,35.925,8069120,76.60,5.584,0.842,0,128.576,1.000,0,0.00,3000.0,5646.2,3543.4,2102.5,68.9,3275.6,447.8,8906.7
33,96,61.044,59.257,36.801,47439872,77.04,20.321,3.922,0,179.110,1.000,0,0.00,3000.0,5639.7,3536.9,2102.5,68.9,3288.9,461.1,8906.9
34,96,75.045,74.170,42.642,54534144,77.42,27.750,4.654,0,229.254,1.000,0,0.00,3000.0,5639.7,3536.9,2102.5,68.9,3282.8,455.0,8906.9
35,96,59.625,57.128,35.453,46465024,77.81,20.567,3.605,6,192.536,1.000,0,0.02,3000.0,5639.5,3536.7,2102.5,68.9,3282.0,454.2,8906.9
36,96,52.179,39.834,36.053,30326784,78.24,14.029,2.097,0,166.706,1.000,0,0.00,3000.0,5645.2,3542.4,2102.5,68.9,3280.4,449.2,8906.9
37,96,54.881,25.310,42.890,15163392,78.70,10.713,1.278,0,166.371,1.000,0,0.00,3000.0,5645.2,3542.4,2102.5,68.9,3273.9,442.5,8906.9
38,96,91.346,59.938,69.275,47927296,79.04,18.373,3.698,0,267.507,1.000,0,0.00,3000.0,5646.1,3543.3,2102.5,68.9,3288.6,406.6,8908.7
39,96,78.945,106.354,38.342,77279232,79.25,35.237,5.366,6,249.337,1.000,0,0.02,3000.0,5644.3,3541.5,2102.5,68.9,3260.6,371.4,8908.9
40,96,72.366,71.704,40.215,46952448,79.56,28.644,3.507,0,160.727,1.000,0,0.00,3000.0,5644.2,3541.4,2102.5,68.9,3219.9,330.6,8909.0
41,96,106.748,195.841,36.237,148926464,79.54,60.882,9.630,0,378.354,1.000,0,0.00,3000.0,5643.8,3541.1,2102.5,68.8,3168.6,279.2,8909.2
42,96,98.919,122.836,55.085,86323200,79.71,37.905,5.928,0,220.632,1.000,0,0.00,3000.0,5534.5,3541.8,1992.3,68.8,3097.8,326.1,8909.2
43,96,82.926,71.044,50.900,54046720,79.96,28.054,3.972,6,193.065,1.000,0,0.02,3000.0,5533.6,3540.9,1992.3,68.8,3077.7,306.0,8909.7
44,96,104.648,180.721,37.489,141832192,79.95,57.720,9.440,0,346.788,1.000,0,0.00,3000.0,5531.9,3539.2,1992.3,68.8,3081.6,309.9,8909.7
45,96,72.827,67.464,43.809,55021568,80.19,23.872,5.146,0,178.670,1.000,0,0.00,3000.0,5533.3,3540.6,1992.3,68.8,3080.0,308.2,8909.7
46,96,117.113,105.432,70.424,78254080,80.36,40.460,6.229,1,317.049,1.000,0,0.00,3000.0,5533.6,3541.0,1992.3,68.8,3079.9,308.1,8909.7
