# bmoe_metrics v1
# model=LFM2.5-8B-A1B-Q5_K_M.gguf arch=lfm2moe n_layer=24 n_expert=32 n_expert_used=4 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=3000 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=1 prefetch=0 dense_weights=anon
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,96,114.353,106.366,51.804,108408832,13.55,53.987,8.563,5744,317.690,-1.000,0,22.44,3000.0,5589.4,3559.0,2030.1,67.6,3226.6,350.6,9050.8
2,96,112.579,102.781,46.084,109871104,23.34,58.038,8.458,0,289.320,-1.000,0,0.00,3000.0,5588.5,3558.1,2030.1,67.6,3219.7,346.5,9047.5
3,96,117.832,71.655,61.744,93757440,31.02,47.478,8.610,6,278.132,-1.000,0,0.02,3000.0,5593.8,3563.4,2030.1,67.6,3161.8,288.5,9047.5
4,96,92.193,60.943,57.942,55910400,37.65,29.917,4.334,0,180.394,-1.000,0,0.00,3000.0,5589.4,3559.0,2030.1,67.6,3124.6,250.7,9047.6
5,96,109.542,108.473,56.728,101326848,42.32,43.660,9.154,0,193.900,1.000,0,0.00,3000.0,5592.2,3561.7,2030.1,67.6,3101.6,227.7,9047.6
6,96,63.266,19.029,44.561,30765056,47.06,16.396,2.310,0,165.952,1.000,0,0.00,3000.0,5592.6,3562.1,2030.1,67.6,3090.6,216.8,9047.6
7,96,148.004,98.511,57.515,148205568,49.63,76.856,13.634,6,368.526,1.000,0,0.02,3000.0,5592.3,3561.8,2030.1,67.6,3126.5,244.6,9047.9
8,96,140.463,64.999,69.249,108896256,52.24,58.038,13.177,0,257.687,1.000,0,0.00,3000.0,5591.7,3561.3,2030.1,67.6,3127.6,245.6,9047.9
9,96,143.810,86.335,54.732,155287552,54.00,74.783,14.295,0,307.210,1.000,0,0.00,3000.0,5594.1,3563.6,2030.1,67.6,3101.8,369.1,9047.9
10,96,131.208,46.666,80.370,78618624,56.28,42.084,8.754,0,282.197,1.000,0,0.00,3000.0,5594.2,3563.7,2030.1,67.6,3098.4,365.7,9047.9
11,96,148.421,79.132,72.662,132579328,57.78,64.664,11.095,6,286.846,1.000,0,0.02,3000.0,5593.6,3563.2,2030.1,67.6,3085.5,352.8,9047.9
12,96,154.134,52.031,82.791,101326848,59.38,60.364,10.980,0,318.305,1.000,0,0.00,3000.0,5594.2,3563.8,2030.1,67.6,3040.0,304.9,9048.2
13,96,173.012,89.424,71.219,156749824,60.36,85.847,15.946,0,325.364,1.000,0,0.00,3000.0,5593.2,3562.7,2030.1,67.6,3036.4,300.0,9048.2
14,96,89.887,22.661,58.253,53960704,62.01,27.557,4.078,0,189.562,1.000,0,0.00,3000.0,5593.3,3562.8,2030.1,67.6,3029.6,291.8,9048.2
15,96,182.218,159.479,63.931,205578240,62.43,97.987,20.300,6,328.526,1.000,0,0.02,3000.0,5587.3,3556.8,2030.1,67.5,3031.7,293.9,9048.4
16,96,158.655,94.520,69.246,149180416,63.18,74.383,15.026,0,284.641,1.000,0,0.00,3000.0,5588.8,3558.3,2030.1,67.5,3015.1,277.2,9048.4
17,96,79.119,11.862,57.021,30277632,64.64,18.629,3.470,0,170.969,1.000,0,0.00,3000.0,5588.4,3557.9,2030.1,67.5,3019.7,281.7,9048.4
18,96,81.617,14.827,56.435,38334464,65.92,22.141,3.041,0,199.197,1.000,0,0.00,3000.0,5587.3,3556.8,2030.1,67.5,3019.7,281.7,9048.4
19,96,72.128,16.287,45.018,39309312,67.09,23.520,3.590,6,201.736,1.000,0,0.02,3000.0,5587.4,3556.9,2030.1,67.5,3022.1,284.1,9048.4
20,96,107.281,49.637,49.131,92782592,67.85,50.920,7.229,0,310.892,1.000,0,0.00,3000.0,5587.1,3556.6,2030.1,67.5,3036.2,297.8,9048.7
21,96,102.149,48.386,46.714,92782592,68.56,48.228,7.207,0,293.666,1.000,0,0.00,3000.0,5593.8,3563.3,2030.1,67.5,3025.4,286.6,9048.7
22,96,81.810,29.344,43.012,62504960,69.38,33.735,5.064,0,219.405,1.000,0,0.00,3000.0,5594.1,3563.6,2030.1,67.5,3019.5,280.3,9059.2
23,96,91.761,41.222,51.546,62017536,70.15,34.242,5.973,6,266.048,1.000,0,0.02,3000.0,5594.1,3563.6,2030.1,67.5,3015.1,275.9,9059.2
24,96,82.457,33.703,41.353,62504960,70.86,35.612,5.492,0,215.193,1.000,0,0.00,3000.0,5587.0,3556.5,2030.1,67.5,3032.3,293.1,9059.2
25,96,53.308,5.853,42.979,15626240,71.75,9.301,1.028,0,137.193,1.000,0,0.00,3000.0,5594.3,3563.8,2030.1,67.5,3024.2,285.0,9059.2
26,96,64.729,12.368,43.704,30765056,72.51,18.185,2.840,0,164.881,1.000,0,0.00,3000.0,5594.3,3563.9,2030.1,67.5,3023.1,283.8,9059.2
27,96,55.524,6.811,44.538,15138816,73.29,9.419,1.567,6,142.951,1.000,0,0.02,3000.0,5594.2,3563.8,2030.1,67.5,3020.5,281.3,9059.2
28,96,56.156,6.116,45.764,15138816,74.02,8.592,1.801,0,142.344,1.000,0,0.00,3000.0,5593.9,3563.4,2030.1,67.5,2921.0,291.4,9059.2
29,96,51.745,3.038,45.920,7569408,74.75,4.395,1.430,0,130.393,1.000,0,0.00,3000.0,5593.9,3563.5,2030.1,67.5,2919.3,289.7,9059.2
30,96,46.302,0.000,45.955,0,75.47,0.000,0.347,0,117.516,1.000,0,0.00,3000.0,5593.8,3563.3,2030.1,67.5,2918.1,288.5,9059.5
31,96,74.556,16.888,47.504,38821888,75.99,23.290,3.762,6,210.202,1.000,0,0.02,3000.0,5593.9,3563.4,2030.1,67.5,2938.3,308.8,9059.5
32,96,51.507,3.156,45.800,8056832,76.60,4.771,0.936,0,127.949,1.000,0,0.00,3000.0,5594.3,3563.9,2030.1,67.5,2940.0,310.4,9059.5
33,96,76.913,17.597,46.473,47366144,77.04,25.383,5.057,0,213.867,1.000,0,0.00,3000.0,5588.1,3557.6,2030.1,67.5,2982.0,352.4,9059.5
34,96,82.552,20.998,46.784,54448128,77.42,30.042,5.726,0,239.306,1.000,0,0.00,3000.0,5588.1,3557.7,2030.1,67.5,3001.4,371.6,9059.5
35,96,76.603,17.612,46.761,46391296,77.81,25.244,4.597,6,228.787,1.000,0,0.02,3000.0,5587.7,3557.2,2030.1,67.5,3007.0,376.8,9059.5
36,96,66.325,12.065,46.201,30277632,78.24,17.600,2.524,0,175.507,1.000,0,0.00,3000.0,5593.4,3562.9,2030.1,67.5,3001.7,371.5,9059.5
37,96,56.040,6.093,45.856,15138816,78.70,8.522,1.662,0,145.176,1.000,0,0.00,3000.0,5593.5,3563.0,2030.1,67.5,2999.5,369.3,9059.5
38,96,80.214,33.792,50.182,47853568,79.04,25.322,4.711,0,172.854,1.000,0,0.00,3000.0,5594.4,3563.9,2030.1,67.5,2993.4,363.2,9059.5
39,96,120.451,42.844,66.226,77156352,79.25,47.976,6.249,6,238.616,1.000,0,0.02,3000.0,5592.5,3562.0,2030.1,67.5,2941.2,311.0,9059.6
40,96,102.174,18.510,68.922,46878720,79.56,28.679,4.573,0,258.456,1.000,0,0.00,3000.0,5592.5,3562.0,2030.1,67.5,2917.6,285.6,9059.6
41,96,157.859,84.047,63.615,148692992,79.54,78.685,15.559,0,334.250,1.000,0,0.00,3000.0,5591.9,3561.5,2030.1,67.5,2933.2,301.2,9059.6
42,96,119.585,43.353,62.569,86188032,79.71,48.104,8.911,0,223.694,1.000,0,0.00,3000.0,5593.1,3562.6,2030.1,67.5,2932.3,299.6,9059.6
43,96,92.336,21.020,56.179,53960704,79.96,31.452,4.705,6,250.675,1.000,0,0.02,3000.0,5592.2,3561.7,2030.1,67.5,2929.8,297.0,9059.8
44,96,136.258,104.899,61.857,141611008,79.95,61.567,12.834,2,392.158,1.000,0,0.01,3000.0,5590.3,3559.8,2030.1,67.5,2907.4,273.5,9059.8
45,96,88.508,19.856,53.640,54935552,80.19,30.058,4.810,0,204.194,1.000,0,0.00,3000.0,5591.7,3561.2,2030.1,67.5,2918.7,284.1,9059.8
46,96,108.488,49.161,59.603,78131200,80.36,41.342,7.543,0,211.783,1.000,0,0.00,3000.0,5592.1,3561.6,2030.1,67.5,2907.2,268.0,9059.8
47,96,84.997,11.284,64.109,30765056,80.65,17.867,3.021,6,192.380,1.000,0,0.02,3000.0,5592.2,3561.7,2030.1,67.5,2928.1,281.5,9062.3
48,96,212.153,237.791,66.623,255152128,80.31,121.132,24.397,0,386.349,1.000,0,0.00,3000.0,5591.1,3560.7,2030.1,67.5,2922.5,275.6,9062.3
49,96,117.446,40.244,60.812,86675456,80.44,48.448,8.186,0,312.854,1.000,0,0.00,3000.0,5507.0,3562.2,1944.4,67.5,2842.5,307.8,9062.3
50,96,120.414,35.138,69.901,70074368,80.61,44.318,6.195,0,225.277,1.000,0,0.00,3000.0,5507.5,3562.6,1944.4,67.5,2816.4,281.8,9062.3
51,96,71.785,9.416,55.678,23683072,80.89,13.687,2.421,12,183.234,1.000,0,0.05,3000.0,5508.3,3563.4,1944.4,67.2,2819.2,284.6,9062.3
52,96,91.630,29.011,56.304,54448128,81.09,30.827,4.499,0,225.788,1.000,0,0.00,3000.0,5508.0,3563.1,1944.4,67.2,2816.5,281.9,9062.3
53,96,73.437,9.125,57.576,23195648,81.35,13.845,2.016,0,177.052,1.000,0,0.00,3000.0,5507.7,3562.8,1944.4,67.2,2816.5,281.9,9062.3
54,96,72.846,11.977,51.591,31739904,81.59,18.245,3.009,0,180.485,1.000,0,0.00,3000.0,5508.5,3563.7,1944.4,67.2,2824.8,290.2,9062.3
55,96,75.188,12.606,51.215,31739904,81.82,21.285,2.687,6,223.077,1.000,0,0.02,3000.0,5509.1,3564.2,1944.4,67.2,2830.2,295.6,9062.6
56,96,54.590,9.177,39.391,23195648,82.06,13.251,1.947,0,145.773,1.000,0,0.00,3000.0,5509.0,3564.1,1944.4,67.2,2845.9,311.2,9062.6
57,96,62.213,22.444,38.440,38334464,82.26,20.915,2.858,0,154.662,1.000,0,0.00,3000.0,5507.9,3563.1,1944.4,67.2,2868.0,333.3,9062.6
58,96,63.741,14.855,43.425,38334464,82.45,17.001,3.316,0,177.501,1.000,0,0.00,3000.0,5507.4,3562.5,1944.4,67.2,2873.2,338.0,9062.6
59,96,82.794,24.497,41.408,63479808,82.58,36.356,5.030,6,238.813,1.000,0,0.02,3000.0,5502.6,3557.7,1944.4,67.2,2907.7,372.6,9062.7
60,96,77.212,35.761,44.246,53960704,82.73,28.556,4.411,0,200.680,1.000,0,0.00,3000.0,5501.6,3556.7,1944.4,67.2,2925.7,390.5,9062.7
61,96,100.767,46.136,48.573,84725760,82.80,45.344,6.850,0,272.186,1.000,0,0.00,3000.0,5508.4,3563.6,1944.4,67.2,2936.6,400.4,9062.7
62,96,84.885,42.412,45.939,69586944,82.90,33.048,5.897,0,238.247,1.000,0,0.00,3000.0,5507.5,3562.6,1944.4,67.2,2974.6,438.3,9062.7
63,96,89.425,21.481,51.313,54935552,83.04,32.210,5.902,13,222.487,1.000,0,0.05,3000.0,5507.6,3562.8,1944.4,67.1,2979.1,440.3,9063.2
64,96,69.687,9.706,53.644,23683072,83.23,13.692,2.352,0,198.039,1.000,0,0.00,3000.0,5508.2,3563.4,1944.4,67.1,2966.5,425.7,9063.4
65,96,66.923,11.923,46.670,30765056,83.41,16.967,3.287,0,189.393,1.000,0,0.00,3000.0,5506.5,3561.6,1944.4,67.1,2963.8,422.9,9063.4
66,96,51.300,3.076,45.866,7569408,83.63,4.351,1.083,0,127.490,1.000,0,0.00,3000.0,5506.7,3561.9,1944.4,67.1,2962.3,421.5,9063.4
67,96,46.294,0.000,45.914,0,83.85,0.000,0.380,12,119.019,1.000,0,0.05,3000.0,5506.6,3561.7,1944.4,67.1,2960.9,420.0,9063.4
68,96,58.868,8.199,46.250,15138816,84.04,10.757,1.861,0,142.813,1.000,0,0.00,3000.0,5506.3,3561.4,1944.4,67.1,2958.1,417.2,9063.4
69,96,64.439,14.764,45.832,30765056,84.20,14.906,3.701,0,156.552,1.000,0,0.00,3000.0,5506.2,3561.4,1944.4,67.1,2961.4,420.6,9063.4
70,96,57.539,6.226,46.596,15626240,84.38,9.118,1.825,0,153.143,1.000,0,0.00,3000.0,5506.2,3561.4,1944.4,67.1,2958.7,417.9,9063.4
71,96,73.275,15.738,46.765,39309312,84.51,22.386,4.124,12,214.200,1.000,0,0.05,3000.0,5506.2,3561.4,1944.4,67.1,2957.7,416.8,9063.7
72,96,82.459,21.460,46.512,54448128,84.60,30.752,5.195,0,228.670,1.000,0,0.00,3000.0,5507.6,3562.8,1944.4,67.1,2954.5,413.7,9063.7
73,96,105.136,38.716,52.466,85700608,84.64,44.262,8.408,0,297.370,1.000,0,0.00,3000.0,5506.9,3562.0,1944.4,67.1,2944.6,403.7,9063.7
74,96,116.258,37.152,58.735,84725760,84.68,50.328,7.195,0,250.453,1.000,0,0.00,3000.0,5505.7,3560.9,1944.4,67.1,2892.3,351.4,9063.7
75,96,79.620,12.479,57.065,31252480,84.81,19.594,2.962,12,205.752,1.000,0,0.05,3000.0,5505.8,3560.9,1944.4,67.0,2863.5,322.6,9063.9
76,96,70.906,12.147,50.080,32227328,84.94,17.962,2.863,0,203.798,1.000,0,0.00,3000.0,5506.7,3561.9,1944.4,67.0,2855.8,314.9,9063.9
77,96,58.015,9.530,42.092,23195648,85.08,13.958,1.965,0,166.251,1.000,0,0.00,3000.0,5507.3,3562.5,1944.4,67.0,2859.2,318.3,9063.9
78,96,64.006,12.463,42.958,31739904,85.21,18.096,2.952,0,164.031,1.000,0,0.00,3000.0,5507.8,3563.0,1944.4,67.0,2866.3,324.9,9063.9
79,96,54.275,5.911,43.936,15626240,85.36,8.866,1.474,12,136.605,1.000,0,0.05,3000.0,5507.2,3562.4,1944.4,67.0,2868.8,327.3,9063.9
80,96,142.382,68.297,61.746,124035072,85.32,68.098,12.539,0,384.410,1.000,0,0.00,3000.0,5507.0,3562.1,1944.4,67.0,2825.0,283.0,9063.9
