# bmoe_metrics v1
# model=LFM2.5-8B-A1B-Q5_K_M.gguf arch=lfm2moe n_layer=24 n_expert=32 n_expert_used=4 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=0 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=0 prefetch=0 dense_weights=anon
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,96,371.345,315.616,55.719,686686208,-1.00,0.000,0.010,0,218.807,-1.000,0,0.00,0.0,2977.0,848.3,2128.3,9.2,4670.7,459.8,9098.4
2,96,378.564,319.969,58.587,686686208,-1.00,0.000,0.009,0,243.752,-1.000,0,0.00,0.0,2977.3,848.6,2128.3,9.2,4669.2,458.3,9098.5
3,96,372.516,319.834,52.674,686686208,-1.00,0.000,0.008,0,218.535,-1.000,0,0.00,0.0,2977.4,848.7,2128.3,9.2,4670.4,459.6,9098.7
4,96,388.028,325.806,62.213,686686208,-1.00,0.000,0.010,0,240.391,-1.000,0,0.00,0.0,2977.4,848.7,2128.3,9.2,4666.0,445.3,9099.0
5,96,372.840,322.525,49.724,686686208,-1.00,0.000,0.591,0,203.516,1.000,0,0.00,0.0,2977.3,848.6,2128.3,9.2,4664.3,443.6,9099.2
6,96,382.220,321.145,61.067,686686208,-1.00,0.000,0.008,0,252.427,1.000,0,0.00,0.0,2977.4,848.7,2128.3,9.2,4665.2,444.5,9099.3
7,96,402.486,331.583,70.892,686686208,-1.00,0.000,0.011,0,253.512,1.000,0,0.00,0.0,2977.4,848.7,2128.3,9.2,4658.6,423.3,9101.6
8,96,410.808,329.069,81.729,686686208,-1.00,0.000,0.010,0,300.442,1.000,0,0.00,0.0,2977.3,848.6,2128.3,9.2,4657.8,419.9,9102.1
9,96,386.709,329.108,57.591,686686208,-1.00,0.000,0.009,0,243.142,1.000,0,0.00,0.0,2977.2,848.5,2128.3,9.2,4659.2,418.4,9102.1
10,96,398.955,337.747,61.200,686686208,-1.00,0.000,0.008,0,235.729,1.000,0,0.00,0.0,2977.1,848.4,2128.3,9.2,4659.0,418.2,9102.1
11,96,370.995,320.151,50.261,686686208,-1.00,0.000,0.583,0,202.467,1.000,0,0.00,0.0,2977.2,848.5,2128.3,9.2,4657.9,414.3,9102.1
12,96,360.635,315.652,44.975,686686208,-1.00,0.000,0.009,0,195.497,1.000,0,0.00,0.0,2977.1,848.4,2128.3,9.2,4656.7,413.1,9102.1
13,96,387.618,326.879,60.731,686686208,-1.00,0.000,0.008,0,231.141,1.000,0,0.00,0.0,2977.1,848.4,2128.3,9.2,4661.7,413.9,9102.6
14,96,383.385,324.443,58.936,686686208,-1.00,0.000,0.007,0,244.779,1.000,0,0.00,0.0,2977.2,848.5,2128.3,9.2,4660.2,412.5,9102.6
15,96,388.154,336.137,52.009,686686208,-1.00,0.000,0.008,0,231.631,1.000,0,0.00,0.0,2977.2,848.5,2128.3,9.2,4659.0,410.7,9102.6
16,96,375.463,328.036,47.419,686686208,-1.00,0.000,0.009,0,211.068,1.000,0,0.00,0.0,2977.2,848.5,2128.3,9.2,4656.9,406.3,9102.6
17,96,375.333,317.880,56.895,686686208,-1.00,0.000,0.558,0,221.698,1.000,0,0.00,0.0,2977.3,848.6,2128.3,9.2,4655.4,404.8,9102.6
18,96,370.704,323.715,46.981,686686208,-1.00,0.000,0.008,0,192.507,1.000,0,0.00,0.0,2977.2,848.5,2128.3,9.2,4655.8,404.3,9102.6
19,96,371.199,319.858,51.331,686686208,-1.00,0.000,0.010,0,220.005,1.000,0,0.00,0.0,2977.2,848.5,2128.3,9.2,4636.1,381.5,9117.0
20,96,397.077,326.836,70.233,686686208,-1.00,0.000,0.008,0,275.168,1.000,0,0.00,0.0,2977.3,848.6,2128.3,9.2,4635.9,381.3,9117.0
21,96,420.644,330.196,90.439,686686208,-1.00,0.000,0.008,0,297.058,1.000,0,0.00,0.0,2977.2,848.5,2128.3,9.2,4630.9,325.4,9124.0
22,96,416.213,321.477,94.719,686686208,-1.00,0.000,0.018,0,324.971,1.000,0,0.00,0.0,2977.2,848.5,2128.3,9.2,4610.3,285.3,9132.1
23,96,388.141,331.640,55.802,686686208,-1.00,0.000,0.699,0,250.282,1.000,0,0.00,0.0,2977.3,848.6,2128.3,9.2,4608.0,279.3,9132.5
24,96,386.392,326.625,59.753,686686208,-1.00,0.000,0.014,0,251.356,1.000,0,0.00,0.0,2882.0,848.6,2033.1,9.2,4512.5,293.6,9133.7
25,96,397.524,326.166,71.343,686686208,-1.00,0.000,0.015,0,278.978,1.000,0,0.00,0.0,2882.0,848.6,2033.1,9.2,4538.2,297.0,9134.2
26,96,436.095,333.763,102.314,686686208,-1.00,0.000,0.018,0,363.739,1.000,0,0.00,0.0,2789.4,848.7,1940.3,9.2,4478.0,295.7,9138.5
27,96,388.216,324.394,63.806,686686208,-1.00,0.000,0.016,0,276.367,1.000,0,0.00,0.0,2789.4,848.7,1940.3,9.2,4546.3,356.8,9383.3
28,96,410.581,329.944,80.617,686686208,-1.00,0.000,0.020,0,293.336,1.000,0,0.00,0.0,2789.3,848.6,1940.3,9.2,4765.8,568.5,9679.1
29,96,407.931,333.861,73.584,686686208,-1.00,0.000,0.486,0,306.073,1.000,0,0.00,0.0,2789.3,848.6,1940.3,9.2,4756.7,559.7,9710.7
30,96,440.258,335.995,104.242,686686208,-1.00,0.000,0.021,0,362.974,1.000,0,0.00,0.0,2789.3,848.6,1940.3,9.2,4791.2,545.1,9828.3
31,96,690.994,343.740,347.229,686686208,-1.00,0.000,0.024,0,740.316,1.000,0,0.00,0.0,2789.3,848.6,1940.3,9.2,4862.7,433.6,10042.3
32,96,534.330,339.005,195.306,686686208,-1.00,0.000,0.019,0,504.514,1.000,0,0.00,0.0,2789.5,848.8,1940.3,9.2,4834.7,329.5,10085.3
33,96,401.618,335.399,66.203,686686208,-1.00,0.000,0.016,0,259.325,1.000,0,0.00,0.0,2789.7,848.9,1940.3,9.2,4835.0,322.5,10087.6
34,96,405.342,336.914,67.878,686686208,-1.00,0.000,0.550,0,265.042,1.000,0,0.00,0.0,2789.6,848.9,1940.3,9.2,4835.8,323.3,10087.7
35,96,400.364,323.821,76.523,686686208,-1.00,0.000,0.020,0,301.925,1.000,0,0.00,0.0,2789.5,848.8,1940.3,9.2,4852.7,336.6,10088.7
36,96,387.780,323.422,64.342,686686208,-1.00,0.000,0.016,0,256.641,1.000,0,0.00,0.0,2789.5,848.8,1940.3,9.2,4824.7,292.3,10092.3
37,96,394.723,326.872,67.838,686686208,-1.00,0.000,0.014,0,256.476,1.000,0,0.00,0.0,2782.5,846.6,1935.6,11.5,4993.0,467.8,10089.8
38,96,377.624,329.161,48.452,686686208,-1.00,0.000,0.011,0,202.287,1.000,0,0.00,0.0,2782.3,846.6,1935.3,11.5,4984.1,459.4,10090.0
39,96,374.839,321.345,53.488,686686208,-1.00,0.000,0.007,0,210.442,1.000,0,0.00,0.0,2782.1,846.5,1935.2,11.5,4984.2,459.6,10090.0
40,96,403.376,328.043,74.772,686686208,-1.00,0.000,0.561,0,281.544,1.000,0,0.00,0.0,2780.8,846.5,1933.8,11.5,4944.8,417.3,10090.8
41,96,371.804,317.597,54.191,686686208,-1.00,0.000,0.016,0,219.881,1.000,0,0.00,0.0,2780.5,846.5,1933.6,11.5,4903.2,376.4,10090.5
42,96,442.457,334.869,107.575,686686208,-1.00,0.000,0.013,0,327.252,1.000,0,0.00,0.0,2753.1,846.4,1906.3,11.5,4867.8,305.4,10095.4
43,96,407.877,332.742,75.118,686686208,-1.00,0.000,0.017,0,271.629,1.000,0,0.00,0.0,2712.0,840.8,1870.8,17.1,4879.1,332.8,10079.4
44,96,491.375,336.590,154.766,686686208,-1.00,0.000,0.018,0,433.678,1.000,0,0.00,0.0,2578.6,832.5,1745.7,25.2,4814.1,410.7,10053.6
45,96,390.038,324.562,65.458,686686208,-1.00,0.000,0.019,0,263.679,1.000,0,0.00,0.0,2578.5,832.4,1745.7,25.4,4796.0,370.8,10054.0
46,96,383.041,316.860,65.596,686686208,-1.00,0.000,0.586,0,249.075,1.000,0,0.00,0.0,2578.5,832.4,1745.7,25.4,4792.5,366.2,10054.3
47,96,396.289,332.070,64.205,686686208,-1.00,0.000,0.014,0,241.999,1.000,0,0.00,0.0,2578.5,832.4,1745.7,25.4,4776.2,331.7,10055.9
48,96,505.603,341.600,163.985,686686208,-1.00,0.000,0.018,0,476.408,1.000,0,0.00,0.0,2503.2,826.0,1676.8,32.1,4765.9,380.2,10032.9
49,96,403.662,333.947,69.700,686686208,-1.00,0.000,0.015,0,283.240,1.000,0,0.00,0.0,2503.2,826.0,1676.8,32.1,4763.6,377.7,10033.4
50,96,379.727,319.263,60.449,686686208,-1.00,0.000,0.014,0,221.905,1.000,0,0.00,0.0,2503.2,826.0,1676.8,32.1,4751.8,365.0,10054.7
51,96,377.486,323.363,54.112,686686208,-1.00,0.000,0.011,0,216.608,1.000,0,0.00,0.0,2503.3,826.1,1676.8,32.1,4749.9,363.0,10055.0
52,96,373.843,323.596,49.676,686686208,-1.00,0.000,0.571,0,205.503,1.000,0,0.00,0.0,2503.1,825.9,1676.8,32.1,4749.0,362.1,10055.0
53,96,402.346,335.059,67.278,686686208,-1.00,0.000,0.009,0,260.065,1.000,0,0.00,0.0,2502.8,825.6,1676.8,32.1,4758.0,370.0,10055.5
54,96,394.473,332.850,61.614,686686208,-1.00,0.000,0.009,0,255.867,1.000,0,0.00,0.0,2502.8,825.6,1676.8,32.1,4757.1,367.9,10055.5
55,96,391.593,338.424,53.161,686686208,-1.00,0.000,0.008,0,222.574,1.000,0,0.00,0.0,2502.9,825.7,1676.8,32.1,4755.4,354.6,10056.0
56,96,486.138,336.951,149.175,686686208,-1.00,0.000,0.012,0,491.803,1.000,0,0.00,0.0,2502.7,825.5,1676.8,32.1,4762.2,328.0,10075.4
57,96,404.659,324.544,80.104,686686208,-1.00,0.000,0.010,0,292.217,1.000,0,0.00,0.0,2502.9,825.7,1676.8,32.1,4761.8,323.7,10076.4
58,96,374.430,322.678,51.111,686686208,-1.00,0.000,0.641,0,216.103,1.000,0,0.00,0.0,2502.8,825.6,1676.8,32.1,4762.0,323.8,10076.4
59,96,358.847,313.847,44.993,686686208,-1.00,0.000,0.008,0,189.551,1.000,0,0.00,0.0,2502.9,825.7,1676.8,32.1,4761.5,323.3,10076.4
60,96,367.229,320.989,46.233,686686208,-1.00,0.000,0.006,0,201.821,1.000,0,0.00,0.0,2502.8,825.6,1676.8,32.1,4757.8,318.4,10076.4
61,96,360.743,316.772,43.964,686686208,-1.00,0.000,0.008,0,184.642,1.000,0,0.00,0.0,2502.8,825.6,1676.8,32.1,4756.5,317.0,10076.4
62,96,379.001,327.551,51.440,686686208,-1.00,0.000,0.010,0,217.089,1.000,0,0.00,0.0,2502.7,825.4,1676.8,32.1,4754.7,315.2,10076.4
63,96,369.423,323.880,45.001,686686208,-1.00,0.000,0.542,0,199.823,1.000,0,0.00,0.0,2442.6,825.6,1616.7,32.1,4741.5,381.9,10076.4
64,96,366.465,319.466,46.989,686686208,-1.00,0.000,0.010,0,201.570,1.000,0,0.00,0.0,2442.6,825.6,1616.7,32.1,4740.4,380.7,10076.6
65,96,367.184,319.167,48.003,686686208,-1.00,0.000,0.014,0,213.677,1.000,0,0.00,0.0,2442.8,825.7,1616.7,32.1,4717.8,351.8,10115.6
66,96,371.708,325.792,45.905,686686208,-1.00,0.000,0.012,0,201.271,1.000,0,0.00,0.0,2442.8,825.7,1616.7,32.1,4743.2,375.3,10115.6
67,96,379.208,322.183,57.018,686686208,-1.00,0.000,0.008,0,242.062,1.000,0,0.00,0.0,2442.6,825.6,1616.7,32.1,4742.5,374.6,10115.6
68,96,387.524,332.518,54.999,686686208,-1.00,0.000,0.007,0,226.661,1.000,0,0.00,0.0,2442.5,825.4,1616.7,32.1,4741.3,373.4,10115.6
69,96,375.908,328.248,47.034,686686208,-1.00,0.000,0.626,0,209.613,1.000,0,0.00,0.0,2442.5,825.4,1616.7,32.1,4743.3,373.3,10115.6
70,96,374.578,316.940,57.630,686686208,-1.00,0.000,0.008,0,222.229,1.000,0,0.00,0.0,2442.6,825.5,1616.7,32.1,4740.9,367.5,10115.6
71,96,391.326,329.517,61.803,686686208,-1.00,0.000,0.006,0,244.654,1.000,0,0.00,0.0,2442.4,825.3,1616.7,32.1,4743.4,369.9,10115.6
72,96,382.744,331.353,51.383,686686208,-1.00,0.000,0.009,0,208.540,1.000,0,0.00,0.0,2442.7,825.7,1616.7,32.1,4741.9,368.5,10115.6
73,96,378.694,333.094,45.590,686686208,-1.00,0.000,0.009,0,204.149,1.000,0,0.00,0.0,2442.7,825.7,1616.7,32.1,4738.8,365.0,10115.6
74,96,393.948,332.342,61.597,686686208,-1.00,0.000,0.010,0,253.779,1.000,0,0.00,0.0,2442.7,825.7,1616.7,32.1,4738.3,364.5,10115.6
75,96,386.148,327.057,58.451,686686208,-1.00,0.000,0.640,0,229.728,1.000,0,0.00,0.0,2442.7,825.7,1616.7,32.1,4736.8,363.1,10115.6
76,96,375.645,330.581,45.053,686686208,-1.00,0.000,0.011,0,192.005,1.000,0,0.00,0.0,2442.9,825.8,1616.7,32.1,4740.4,366.6,10115.8
77,96,385.865,330.068,55.786,686686208,-1.00,0.000,0.011,0,219.713,1.000,0,0.00,0.0,2442.9,825.8,1616.7,32.1,4740.3,366.5,10115.8
78,96,391.859,324.642,67.208,686686208,-1.00,0.000,0.009,0,256.897,1.000,0,0.00,0.0,2442.6,825.5,1616.7,32.1,4739.6,365.8,10115.8
79,96,412.895,329.035,83.850,686686208,-1.00,0.000,0.010,0,302.077,1.000,0,0.00,0.0,2422.5,825.5,1596.6,32.1,4723.5,377.5,10115.8
80,96,365.670,317.180,48.483,686686208,-1.00,0.000,0.006,0,208.619,1.000,0,0.00,0.0,2422.5,825.5,1596.6,32.1,4722.1,375.8,10115.8
81,96,370.088,326.300,43.197,686686208,-1.00,0.000,0.591,0,181.787,1.000,0,0.00,0.0,2422.6,825.6,1596.6,32.1,4722.1,375.8,10115.8
82,96,393.063,330.478,62.575,686686208,-1.00,0.000,0.009,0,247.872,1.000,0,0.00,0.0,2422.6,825.6,1596.6,32.1,4759.0,409.3,10116.1
83,96,401.950,339.625,62.317,686686208,-1.00,0.000,0.008,0,249.289,1.000,0,0.00,0.0,2422.6,825.6,1596.6,32.1,4758.8,409.0,10116.1
84,96,380.623,324.016,56.600,686686208,-1.00,0.000,0.006,0,217.832,1.000,0,0.00,0.0,2422.6,825.6,1596.6,32.1,4757.5,407.8,10116.1
85,96,382.109,320.856,61.245,686686208,-1.00,0.000,0.008,0,236.337,1.000,0,0.00,0.0,2422.6,825.6,1596.6,32.1,4767.2,417.5,10116.1
86,96,384.415,325.838,58.571,686686208,-1.00,0.000,0.007,0,239.683,1.000,0,0.00,0.0,2422.4,825.5,1596.6,32.1,4765.7,416.0,10116.2
87,96,400.475,331.403,68.439,686686208,-1.00,0.000,0.634,0,260.003,1.000,0,0.00,0.0,2422.4,825.5,1596.6,32.1,4766.6,416.8,10116.2
88,96,391.689,330.417,61.264,686686208,-1.00,0.000,0.008,0,240.373,1.000,0,0.00,0.0,2422.4,825.5,1596.6,32.1,4765.3,415.4,10116.4
89,96,375.930,324.893,51.029,686686208,-1.00,0.000,0.008,0,212.707,1.000,0,0.00,0.0,2422.6,825.6,1596.6,32.1,4763.8,413.6,10116.4
90,96,379.108,329.681,49.421,686686208,-1.00,0.000,0.006,0,213.471,1.000,0,0.00,0.0,2422.4,825.5,1596.6,32.1,4764.6,414.5,10116.4
91,96,381.150,320.432,60.709,686686208,-1.00,0.000,0.009,0,239.600,1.000,0,0.00,0.0,2422.4,825.5,1596.6,32.1,4763.4,413.0,10116.4
92,96,373.344,319.452,53.883,686686208,-1.00,0.000,0.009,0,229.504,1.000,0,0.00,0.0,2422.4,825.5,1596.6,32.1,4765.0,414.5,10116.5
93,96,379.299,328.434,50.450,686686208,-1.00,0.000,0.415,0,210.537,1.000,0,0.00,0.0,2422.4,825.5,1596.6,32.1,4766.0,415.4,10116.7
94,96,381.667,324.898,56.761,686686208,-1.00,0.000,0.008,0,229.220,1.000,0,0.00,0.0,2422.4,825.5,1596.6,32.1,4829.1,478.6,10117.0
95,96,403.961,341.747,62.207,686686208,-1.00,0.000,0.007,0,236.206,1.000,0,0.00,0.0,2422.5,825.6,1596.6,32.1,4828.4,477.8,10117.0
96,96,383.142,323.028,60.108,686686208,-1.00,0.000,0.006,0,227.153,1.000,0,0.00,0.0,2422.4,825.4,1596.6,32.1,4828.0,477.4,10117.0
# summary tokens=96 s/tok=0.396 tok/s=2.528 read_MiB=62868.0 io_s=31.42 compute_s/tok=0.068 io_s/tok=0.327 cache_hit_pct=-1.0 n_prompt=26 load_s=4.971 prefill_s=2.371 prefill_tps=10.97 stall_s/tok=0.000 mgmt_s/tok=0.000 cache_resident_MiB=0.0 cache_budget_MiB=0.0 cache_resizes=0 spec_read_MiB=0.0 spec_experts=0 spec_useful=0 majflt/tok=0.00 cpu_s/tok=0.2559 token_demand_MiB=653.8 layer_demand_MiB=30.7
