# bmoe_metrics v1
# model=LFM2.5-8B-A1B-Q5_K_M.gguf arch=lfm2moe n_layer=24 n_expert=32 n_expert_used=4 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=0 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=0 prefetch=0 dense_weights=anon
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,96,335.860,277.774,58.072,685604864,-1.00,0.000,0.014,0,286.735,-1.000,0,0.00,0.0,3968.9,876.3,3092.2,0.6,5153.5,417.4,9900.9
2,96,338.554,281.074,57.468,685604864,-1.00,0.000,0.011,0,265.473,-1.000,0,0.00,0.0,3969.1,876.6,3092.2,0.6,5152.3,415.4,9900.9
3,96,333.163,276.854,56.299,685604864,-1.00,0.000,0.010,0,273.700,-1.000,0,0.00,0.0,3969.2,876.7,3092.2,0.6,5151.1,414.2,9900.9
4,96,338.790,281.380,57.398,685604864,-1.00,0.000,0.012,0,281.324,-1.000,0,0.00,0.0,3969.1,876.6,3092.2,0.6,5149.9,412.9,9900.9
5,96,335.489,279.107,55.787,685604864,-1.00,0.000,0.594,0,249.362,1.000,0,0.00,0.0,3969.1,876.6,3092.2,0.6,5148.2,411.3,9901.2
6,96,340.427,283.388,57.023,685604864,-1.00,0.000,0.015,0,269.219,1.000,0,0.00,0.0,3969.1,876.6,3092.2,0.6,5146.0,408.1,9901.2
7,96,332.670,276.576,56.086,685604864,-1.00,0.000,0.008,0,257.469,1.000,0,0.00,0.0,3969.0,876.4,3092.2,0.6,5144.3,406.4,9901.2
8,96,334.318,278.409,55.900,685604864,-1.00,0.000,0.009,0,259.274,1.000,0,0.00,0.0,3969.0,876.4,3092.2,0.6,5142.6,403.9,9901.2
9,96,332.284,276.102,56.170,685604864,-1.00,0.000,0.012,0,252.482,1.000,0,0.00,0.0,3969.1,876.6,3092.2,0.6,5142.4,403.6,9901.2
10,96,334.453,278.369,56.070,685604864,-1.00,0.000,0.013,0,273.710,1.000,0,0.00,0.0,3968.9,876.4,3092.2,0.6,5142.2,403.4,9901.2
11,96,337.012,280.503,55.871,685604864,-1.00,0.000,0.638,0,265.804,1.000,0,0.00,0.0,3968.8,876.3,3092.2,0.6,5140.5,401.7,9901.4
12,96,337.934,281.867,56.060,685604864,-1.00,0.000,0.006,0,276.243,1.000,0,0.00,0.0,3968.9,876.4,3092.2,0.6,5138.8,399.2,9901.4
13,96,332.094,277.519,54.568,685604864,-1.00,0.000,0.007,0,259.489,1.000,0,0.00,0.0,3968.9,876.4,3092.2,0.6,5141.6,402.0,9901.4
14,96,333.929,278.947,54.973,685604864,-1.00,0.000,0.009,0,241.851,1.000,0,0.00,0.0,3968.8,876.3,3092.2,0.6,5140.1,400.6,9901.4
15,96,332.773,277.218,55.545,685604864,-1.00,0.000,0.010,0,268.658,1.000,0,0.00,0.0,3968.9,876.4,3092.2,0.6,5138.2,398.6,9901.7
16,96,333.655,277.740,55.903,685604864,-1.00,0.000,0.012,0,256.377,1.000,0,0.00,0.0,3969.0,876.5,3092.2,0.6,5138.2,398.6,9901.7
17,96,338.426,282.008,55.738,685604864,-1.00,0.000,0.680,0,266.701,1.000,0,0.00,0.0,3969.2,876.6,3092.2,0.6,5137.5,397.4,9901.7
18,96,334.439,278.388,56.040,685604864,-1.00,0.000,0.011,0,264.807,1.000,0,0.00,0.0,3968.9,876.4,3092.2,0.6,5136.5,396.4,9901.9
19,96,336.508,279.549,56.948,685604864,-1.00,0.000,0.010,0,273.282,1.000,0,0.00,0.0,3968.9,876.4,3092.2,0.6,5135.2,391.9,9902.2
20,96,339.500,283.009,56.482,685604864,-1.00,0.000,0.010,0,273.192,1.000,0,0.00,0.0,3968.9,876.4,3092.2,0.6,5134.2,390.5,9902.2
21,96,336.595,280.522,56.062,685604864,-1.00,0.000,0.011,0,262.722,1.000,0,0.00,0.0,3969.0,876.5,3092.2,0.6,5133.4,389.8,9902.2
22,96,339.554,282.946,56.596,685604864,-1.00,0.000,0.011,0,284.941,1.000,0,0.00,0.0,3968.9,876.3,3092.2,0.6,5132.4,388.8,9902.2
