# bmoe_metrics v1
# model=Qwen3-30B-A3B-Q4_K_M.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=4000 cache_auto=1 cache_ceil_mb=4000 force_cache=0 io_threads=4 o_direct=1 overlap=1 prefetch=0 dense_weights=anon
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,96,373.958,780.747,146.875,529563648,7.18,185.407,41.676,29510,1365.663,-1.000,0,115.27,4000.0,4849.9,4832.5,17.2,373.0,1293.2,200.0,9228.7
2,96,196.814,380.039,81.898,271331328,15.47,92.119,22.796,4,714.839,0.832,0,0.02,4000.0,4838.2,4820.8,17.2,384.9,1321.8,237.4,9194.4
3,96,233.199,433.571,104.416,314400256,21.51,98.154,30.630,39,834.342,0.832,0,0.15,4000.0,4835.9,4818.4,17.2,387.4,1397.5,318.0,9172.2
4,96,343.731,241.135,277.741,165777408,27.72,48.605,17.385,1,1082.507,0.832,0,0.00,4000.0,4834.1,4816.6,17.2,387.4,1427.6,342.5,9169.4
5,96,226.286,414.199,117.636,300257280,31.71,76.545,32.105,1,525.976,0.832,0,0.00,4000.0,4832.6,4815.1,17.2,388.4,1382.8,296.8,9162.9
6,96,165.909,219.643,98.708,159866880,36.10,51.937,15.264,1,376.108,0.832,0,0.00,4000.0,4831.7,4814.2,17.2,389.5,1368.6,282.5,9159.9
7,96,219.840,415.771,111.440,302284800,38.86,77.386,31.014,40,564.398,0.832,0,0.16,4000.0,4830.4,4813.0,17.2,391.5,1372.4,285.7,9154.9
8,96,145.202,153.425,93.483,113553408,42.42,40.555,11.164,3,341.240,0.832,0,0.01,4000.0,4830.8,4813.3,17.2,392.6,1368.0,280.0,9151.9
9,96,142.429,131.827,95.791,96743424,45.61,36.883,9.755,1,325.731,0.832,0,0.00,4000.0,4829.3,4811.9,17.2,392.6,1367.2,279.2,9152.2
10,96,353.374,807.935,141.370,599236608,45.62,151.107,60.897,1,765.180,0.832,0,0.00,4000.0,4828.9,4811.4,17.2,392.6,1371.4,280.7,9153.8
11,96,259.062,462.570,125.639,340021248,46.98,98.561,34.861,39,562.472,0.832,0,0.15,4000.0,4829.5,4812.0,17.2,392.6,1375.0,284.2,9154.6
12,96,203.363,344.143,100.569,258809856,48.62,77.037,25.757,2,438.026,0.832,0,0.01,4000.0,4830.5,4813.0,17.2,392.6,1374.2,283.4,9154.9
13,96,191.376,307.754,96.700,234233856,50.19,68.496,26.180,0,424.461,0.832,0,0.00,4000.0,4828.6,4811.1,17.2,392.6,1376.4,285.6,9154.9
14,96,175.442,250.835,97.078,187514880,51.81,59.435,18.929,1,390.069,0.832,0,0.00,4000.0,4829.2,4811.7,17.2,392.6,1366.4,275.5,9154.9
15,96,156.477,186.657,95.164,142245888,53.47,45.204,16.109,39,365.622,0.832,0,0.15,4000.0,4830.4,4812.9,17.2,392.6,1374.1,283.2,9155.1
16,96,227.413,434.996,98.552,324833280,54.24,94.778,34.083,1,549.065,0.832,0,0.00,4000.0,4830.3,4812.9,17.2,392.6,1381.7,290.8,9155.4
17,96,206.770,372.074,94.329,282169344,55.12,83.706,28.735,1,433.072,0.832,0,0.00,4000.0,4831.0,4813.5,17.2,392.6,1380.1,289.0,9155.4
18,96,194.393,320.898,93.942,235044864,56.10,75.251,25.200,3,414.563,0.832,0,0.01,4000.0,4829.2,4811.8,17.2,392.6,1369.4,278.4,9155.6
19,96,155.628,188.601,93.853,134651904,57.35,48.198,13.577,38,348.204,0.832,0,0.15,4000.0,4830.2,4812.7,17.2,392.5,1369.8,278.8,9155.6
20,96,160.027,218.811,91.101,167055360,58.39,52.010,16.916,2,341.142,0.832,0,0.01,4000.0,4829.0,4811.5,17.2,392.5,1380.5,289.4,9155.9
21,96,132.253,116.636,91.517,85266432,59.63,31.970,8.766,0,316.862,0.832,0,0.00,4000.0,4829.9,4812.5,17.2,392.5,1370.8,279.7,9155.9
22,96,131.254,123.177,88.744,88977408,60.77,33.413,9.097,2,291.486,0.832,0,0.01,4000.0,4829.0,4811.5,17.2,392.5,1375.2,284.0,9156.7
23,96,351.470,178.019,289.421,116625408,61.74,48.518,13.530,39,942.631,0.832,0,0.15,4000.0,4831.3,4813.8,17.2,392.4,1393.2,278.8,9159.4
24,96,275.713,598.523,109.036,451719168,61.65,116.055,50.621,0,596.612,0.832,0,0.00,4000.0,4831.0,4813.5,17.2,392.4,1392.4,275.6,9159.9
25,96,156.057,178.091,96.132,129318912,62.50,46.306,13.619,0,363.714,0.832,0,0.00,4000.0,4830.1,4812.6,17.2,392.4,1403.0,283.0,9160.7
26,96,164.647,164.552,108.216,114769920,63.34,42.780,13.651,0,385.089,0.832,0,0.00,4000.0,4830.9,4813.4,17.2,392.4,1399.0,278.5,9161.2
27,96,188.575,347.305,88.537,263159808,63.72,68.697,31.341,39,670.709,0.832,0,0.15,4000.0,4831.3,4813.9,17.2,392.2,1396.9,275.1,9161.7
28,96,184.006,331.585,85.801,254521344,64.11,68.238,29.968,1,647.487,0.832,0,0.00,4000.0,4830.2,4812.8,17.2,392.2,1394.0,272.3,9161.7
29,96,159.618,243.504,85.168,188153856,64.64,51.519,22.930,1,551.250,0.832,0,0.00,4000.0,4831.5,4814.0,17.2,392.2,1393.4,271.7,9162.6
30,96,161.682,248.261,87.559,184442880,65.16,51.342,22.781,1,556.826,0.832,0,0.00,4000.0,4830.2,4812.7,17.2,392.2,1391.0,269.3,9162.6
31,96,220.562,416.885,101.267,302862336,65.37,89.653,29.642,41,467.133,0.832,0,0.16,4000.0,4829.9,4812.4,17.2,392.1,1524.8,402.4,9163.1
32,96,134.624,185.144,71.654,137723904,65.94,53.357,9.613,0,274.112,0.832,0,0.00,4000.0,4830.9,4813.4,17.2,392.1,1461.1,338.7,9163.1
33,96,182.807,306.777,88.735,233189376,66.28,76.104,17.968,1,382.562,0.832,0,0.00,4000.0,4831.4,4813.9,17.2,392.1,1406.1,281.0,9166.9
34,96,230.679,446.704,106.036,329760768,66.38,92.101,32.542,0,508.712,0.832,0,0.00,4000.0,4829.9,4812.5,17.2,392.1,1427.7,301.2,9167.7
35,96,216.813,383.989,112.257,286519296,66.56,77.364,27.192,38,492.630,0.832,0,0.15,4000.0,4831.4,4813.9,17.2,391.9,1408.2,281.7,9167.7
36,96,170.630,210.001,102.312,148561920,67.04,52.800,15.518,1,386.606,0.832,0,0.00,4000.0,4830.8,4813.3,17.2,391.9,1409.7,283.2,9167.7
37,96,171.792,224.797,104.641,167227392,67.45,50.261,16.890,1,408.106,0.832,0,0.00,4000.0,4829.9,4812.4,17.2,391.9,1408.0,281.4,9169.2
38,96,166.972,224.266,96.252,168271872,67.84,54.638,16.083,1,378.184,0.832,0,0.00,4000.0,4829.6,4812.1,17.2,391.9,1414.7,288.1,9169.2
39,96,177.911,254.792,99.544,196325376,68.16,58.263,20.104,38,419.627,0.832,0,0.15,4000.0,4831.4,4813.9,17.2,391.7,1414.5,287.8,9169.2
40,96,239.700,461.597,105.807,354508800,68.16,98.113,35.781,2,514.629,0.832,0,0.01,4000.0,4831.1,4813.7,17.2,391.7,1415.3,288.6,9169.2
41,96,339.650,788.818,137.185,589848576,67.70,142.390,60.075,1,799.430,0.832,0,0.00,4000.0,4831.4,4814.0,17.2,391.7,1409.8,283.0,9169.2
42,96,151.796,206.028,88.462,157200384,68.07,42.417,20.917,1,510.103,0.832,0,0.00,4000.0,4830.8,4813.3,17.2,391.7,1443.5,316.7,9169.2
43,96,200.615,351.469,98.004,264781824,68.23,74.813,27.799,40,518.537,0.832,0,0.16,4000.0,4830.0,4812.5,17.2,391.6,1408.4,281.6,9169.7
44,96,192.824,302.086,100.649,227045376,68.46,69.462,22.713,0,430.895,0.832,0,0.00,4000.0,4830.7,4813.2,17.2,391.6,1407.4,280.6,9170.4
45,96,214.108,352.168,112.372,268025856,68.61,73.527,28.209,1,495.180,0.832,0,0.00,4000.0,4829.6,4812.1,17.2,391.6,1406.8,280.1,9170.4
46,96,192.324,305.841,99.457,230584320,68.80,70.420,22.447,1,428.438,0.832,0,0.00,4000.0,4829.6,4812.1,17.2,391.6,1409.9,282.3,9170.4
47,96,194.909,311.479,103.836,235511808,68.98,66.638,24.435,40,448.349,0.832,0,0.16,4000.0,4830.1,4812.7,17.2,391.5,1411.5,283.9,9171.2
48,96,154.126,232.266,80.516,173776896,69.27,52.048,21.561,1,518.160,0.832,0,0.00,4000.0,4832.5,4815.0,17.2,391.5,1511.0,383.3,9171.2
49,96,83.328,67.156,58.883,48574464,69.74,19.957,4.488,1,246.525,0.832,0,0.00,4000.0,4831.7,4814.2,17.2,391.5,1507.7,379.9,9171.2
50,96,146.329,246.045,68.695,187342848,69.98,62.073,15.560,1,505.972,0.832,0,0.00,4000.0,4832.1,4814.6,17.2,391.5,1516.2,388.5,9176.4
51,96,112.350,144.506,66.438,106364928,70.33,36.784,9.128,93,368.681,0.832,0,0.36,4000.0,4832.5,4815.1,17.2,391.0,1517.3,389.5,9178.1
52,96,112.835,125.431,71.078,93671424,70.69,32.981,8.776,1,353.750,0.832,0,0.00,4000.0,4830.5,4813.1,17.2,391.0,1517.5,388.7,9178.3
53,96,153.719,261.401,73.223,198352896,70.89,61.924,18.572,1,538.835,0.832,0,0.00,4000.0,4831.3,4813.8,17.2,391.0,1509.9,380.1,9178.3
54,96,220.530,463.370,82.690,351498240,70.84,101.706,36.134,0,822.763,0.832,0,0.00,4000.0,4831.9,4814.4,17.2,391.0,1506.3,376.4,9178.4
55,96,150.701,221.862,79.160,167632896,71.07,53.208,18.333,39,503.476,0.832,0,0.15,4000.0,4831.3,4813.8,17.2,390.9,1501.2,371.3,9178.4
56,96,358.277,912.466,92.082,689025024,70.53,198.459,67.736,0,1372.681,0.832,0,0.00,4000.0,4830.9,4813.4,17.2,390.9,1498.7,368.6,9178.4
57,96,177.116,324.352,81.374,246521856,70.65,72.191,23.551,0,646.724,0.832,0,0.00,4000.0,4832.1,4814.6,17.2,390.9,1494.1,364.0,9178.4
58,96,205.261,394.395,88.393,305700864,70.68,78.806,38.063,0,737.809,0.832,0,0.00,4000.0,4830.2,4812.7,17.2,390.9,1491.9,360.8,9179.4
59,96,189.119,239.292,113.167,179920896,70.89,57.603,18.348,38,505.377,0.832,0,0.15,4000.0,4831.3,4813.8,17.2,390.5,1408.8,277.6,9179.7
60,96,256.007,460.603,141.161,334454784,70.87,81.144,33.702,0,610.509,0.832,0,0.00,4000.0,4833.0,4815.5,17.2,390.5,1443.9,298.5,9179.3
61,96,243.692,427.745,130.985,319500288,70.87,78.024,34.684,0,625.534,0.832,0,0.00,4000.0,4833.1,4815.6,17.2,390.5,1467.8,318.8,9174.0
62,96,213.301,187.786,157.457,145489920,71.11,42.833,13.010,1,615.183,0.832,0,0.00,4000.0,4831.5,4814.0,17.2,390.5,1481.6,311.3,9183.0
63,96,161.831,246.855,83.395,180965376,71.29,63.119,15.317,97,555.166,0.832,0,0.38,4000.0,4831.8,4814.4,17.2,390.2,1502.8,331.4,9178.4
64,96,163.158,189.414,101.231,134246400,71.52,50.416,11.512,1,543.326,0.832,0,0.00,4000.0,4831.4,4814.0,17.2,390.2,1500.9,329.4,9174.4
65,96,2478.691,245.065,2392.937,168038400,71.71,63.876,21.879,212,5389.846,0.832,0,0.83,4000.0,4816.6,4805.0,11.3,399.4,1429.5,38.8,9148.4
66,96,1085.670,727.811,889.958,509915136,71.46,144.991,50.721,4012,3025.662,0.824,0,15.67,4000.0,4780.7,4769.2,11.2,434.2,1622.1,205.8,9159.8
67,96,117.731,129.880,74.341,96743424,71.73,35.068,8.323,5137,383.533,0.824,0,20.07,4000.0,4791.0,4779.6,11.2,425.0,1637.8,224.0,9162.0
68,96,170.184,285.215,84.734,211918848,71.85,68.002,17.448,4954,607.258,0.824,0,19.35,4000.0,4801.0,4789.5,11.2,415.1,1641.2,234.0,9162.1
69,96,319.663,638.225,141.608,464007168,71.66,134.209,43.845,3058,1128.197,0.824,0,11.95,4000.0,4804.5,4793.0,11.2,412.8,1676.5,271.9,9192.0
70,96,122.506,139.151,78.536,98365440,71.92,33.998,9.971,1396,401.491,0.824,0,5.45,4000.0,4811.3,4799.8,11.2,405.7,1692.4,294.6,9186.6
71,96,231.339,204.568,165.646,143056896,72.11,50.273,15.420,1344,730.920,0.824,0,5.25,4000.0,4814.5,4803.0,11.2,402.7,1686.4,259.4,9211.6
72,96,342.526,185.808,278.310,131579904,72.32,49.970,14.246,1,1074.362,0.824,0,0.00,4000.0,4807.6,4796.2,11.2,408.6,1723.2,305.0,9170.4
73,96,143.770,147.406,97.111,101842944,72.55,33.548,13.111,1594,429.235,0.824,0,6.23,4000.0,4817.2,4805.8,11.2,398.0,1710.4,295.4,9171.3
74,96,194.775,349.147,95.539,262115328,72.60,66.488,32.747,1,674.826,0.824,0,0.00,4000.0,4821.6,4810.2,11.2,393.2,1692.6,277.5,9176.5
75,96,174.261,240.262,100.232,177893376,72.74,55.202,18.827,96,426.094,0.824,0,0.38,4000.0,4822.4,4810.9,11.2,393.0,1678.1,259.6,9180.8
76,96,144.028,167.774,91.032,119697408,72.94,38.846,14.150,2,446.386,0.824,0,0.01,4000.0,4824.5,4813.1,11.2,393.0,1679.4,260.7,9181.6
77,96,133.534,115.655,93.278,81383424,73.17,30.966,9.290,1,302.510,0.824,0,0.00,4000.0,4822.5,4811.0,11.2,393.0,1663.7,245.0,9181.6
78,96,200.004,259.006,120.386,189775872,73.28,59.844,19.774,2,465.028,0.824,0,0.01,4000.0,4822.4,4810.9,11.2,393.0,1661.2,242.4,9182.1
79,96,128.502,64.931,103.707,42430464,73.55,19.243,5.552,96,345.087,0.824,0,0.38,4000.0,4824.4,4812.9,11.2,392.6,1652.9,219.0,9201.8
80,96,98.520,74.340,70.853,52051968,73.80,23.032,4.635,0,210.848,0.824,0,0.00,4000.0,4822.7,4811.2,11.2,392.6,1655.3,221.3,9201.8
81,96,119.367,163.237,71.312,114364416,73.99,38.556,9.499,1,386.663,0.824,0,0.00,4000.0,4824.8,4813.3,11.2,392.6,1654.2,212.5,9203.8
82,96,122.866,151.423,71.972,112680960,74.17,40.406,10.488,1,404.345,0.824,0,0.00,4000.0,4824.8,4813.3,11.2,392.6,1714.5,266.9,9202.2
83,96,127.469,156.110,77.324,109436928,74.35,40.512,9.632,98,424.735,0.824,0,0.38,4000.0,4824.9,4813.5,11.2,392.2,1730.2,281.1,9190.7
