# bmoe_metrics v1
# model=Qwen3-30B-A3B-Q4_K_M.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=4000 cache_auto=1 cache_ceil_mb=4000 force_cache=0 io_threads=4 o_direct=1 overlap=1 prefetch=0 dense_weights=anon
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,96,538.362,635.390,292.026,527302656,7.18,193.906,52.430,33638,1769.854,-1.000,0,131.40,4000.0,5509.2,4922.3,586.8,290.1,1389.6,276.7,8313.9
2,96,221.669,325.128,83.905,270176256,15.47,113.546,24.217,3,607.591,0.824,0,0.01,4000.0,5506.1,4922.8,583.1,290.1,1394.3,283.5,8303.9
3,96,260.242,387.948,86.036,313049088,21.51,144.195,30.011,28,923.872,0.824,0,0.11,4000.0,5506.1,4922.8,583.1,290.0,1377.1,266.2,8296.6
4,96,260.804,164.538,169.340,165076992,27.72,75.698,15.766,1,843.242,0.824,0,0.00,4000.0,5504.6,4921.3,583.1,290.0,1374.4,260.3,8295.9
5,96,234.496,342.571,76.251,298967040,31.71,132.067,26.178,1,821.080,0.824,0,0.00,4000.0,5503.5,4920.3,583.1,290.0,1369.5,255.0,8296.3
6,96,328.163,147.283,225.542,159178752,36.10,83.197,19.424,1,934.536,0.824,0,0.00,4000.0,5501.6,4920.9,580.5,290.0,1428.7,232.1,8461.2
7,96,266.957,355.244,102.091,300994560,38.86,127.020,37.846,29,870.367,0.824,0,0.11,4000.0,5494.4,4920.8,573.4,290.4,1485.0,304.1,8447.7
8,96,170.634,79.408,88.836,113061888,42.42,67.438,14.361,3,563.628,0.824,0,0.01,4000.0,5478.4,4911.4,566.9,301.4,1509.0,346.6,8421.7
9,96,188.737,77.585,122.571,96325632,45.61,57.345,8.822,1,590.391,0.824,0,0.00,4000.0,5473.1,4906.1,566.9,305.1,1478.8,315.9,8409.8
10,96,581.411,791.067,277.507,596680704,45.62,253.013,50.891,1,1878.195,0.824,0,0.00,4000.0,5459.9,4892.8,566.9,317.8,1464.3,287.4,8529.1
11,96,306.286,393.170,110.628,338558976,46.98,158.325,37.334,28,608.641,0.824,0,0.11,4000.0,5460.7,4893.7,566.9,317.6,1452.9,275.1,8529.4
12,96,462.371,255.376,300.462,257716224,48.62,131.387,30.522,1,1244.812,0.824,0,0.00,4000.0,5461.4,4894.4,566.9,317.6,1462.7,240.7,8541.1
13,96,239.603,231.131,92.387,233238528,50.19,121.521,25.695,0,401.106,0.824,0,0.00,4000.0,5459.6,4892.5,566.9,317.6,1462.9,240.7,8541.6
14,96,205.787,182.831,85.109,186716160,51.81,103.818,16.860,1,326.422,0.824,0,0.00,4000.0,5460.4,4893.4,566.9,317.6,1476.5,248.1,8543.4
15,96,245.099,111.987,158.572,141631488,53.47,74.187,12.340,28,673.040,0.824,0,0.11,4000.0,5415.6,4864.5,550.9,347.1,1570.1,321.7,8543.5
16,96,266.181,365.291,76.426,323444736,54.24,164.406,25.349,1,949.821,0.824,0,0.00,4000.0,5406.3,4855.4,550.8,356.2,1560.8,308.4,8522.5
17,96,254.127,324.686,90.640,280977408,55.12,131.512,31.975,1,895.973,0.824,0,0.00,4000.0,5395.4,4844.5,550.8,368.1,1568.4,311.5,8504.4
18,96,261.191,238.920,108.576,234049536,56.10,126.736,25.878,3,517.254,0.824,0,0.01,4000.0,5393.4,4842.5,550.8,368.1,1539.9,282.8,8509.0
19,96,363.076,115.310,268.650,134074368,57.35,78.959,15.467,27,1083.344,0.824,0,0.11,4000.0,5394.2,4843.3,550.8,368.1,1545.2,286.8,8512.3
20,96,202.006,146.288,92.681,166330368,58.39,92.207,17.118,2,378.814,0.824,0,0.01,4000.0,5393.4,4842.5,550.8,368.1,1525.5,266.6,8512.8
