# bmoe_metrics v1
# model=Qwen_Qwen3.6-35B-A3B-Q4_K_M.gguf arch=qwen35moe n_layer=40 n_expert=256 n_expert_used=8 threads=4 n_ctx=4096
# moe_stream=1 cache_mb=3000 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=1 prefetch=0 dense_weights=ahwb drop_cold_frac=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,2048,3253.930,440.382,3116.850,273666048,6.74,34.180,102.900,8726,7947.745,-1.000,0,34.09,3000.0,2931.5,2792.5,138.7,585.0,1300.5,114.0,7783.3
2,2048,822.305,212.389,756.969,120471552,14.69,25.537,39.799,2223,2454.468,-1.000,0,8.68,3000.0,2969.0,2835.6,133.0,542.4,1299.8,130.3,7817.8
3,2048,789.899,363.054,678.067,249741312,19.03,31.524,80.308,4172,2380.382,1.000,0,16.30,3000.0,3177.6,3044.2,133.0,334.1,1326.3,174.1,8000.3
4,2048,810.482,287.675,726.864,175927296,23.68,39.026,44.593,357,2463.850,1.000,0,1.39,3000.0,3226.2,3092.9,133.0,284.1,1327.2,147.1,8042.7
5,2048,592.882,379.820,477.632,257679360,26.48,69.938,45.312,154,1921.369,1.000,0,0.60,3000.0,3227.0,3098.1,128.7,279.1,1339.4,178.4,8031.1
6,2048,554.576,240.954,483.502,154275840,30.15,43.391,27.682,12,1729.577,1.000,0,0.05,3000.0,3230.1,3104.1,125.8,274.1,1354.9,204.4,8019.9
7,2048,212.737,285.482,122.011,190291968,32.90,61.725,29.001,0,744.428,1.000,0,0.00,3000.0,3215.9,3092.7,122.9,284.2,1352.7,205.0,8007.6
8,2048,164.843,147.324,119.785,92553216,36.30,29.388,15.669,0,542.031,1.000,0,0.00,3000.0,3218.5,3095.3,122.9,281.7,1352.6,206.2,8002.4
9,2048,423.477,177.253,371.006,109400064,39.12,32.640,19.831,0,1281.731,1.000,0,0.00,3000.0,3208.0,3089.9,117.8,287.1,1380.9,256.7,7964.8
10,2048,198.325,257.711,120.255,167559168,41.08,51.573,26.498,12,673.487,1.000,0,0.05,3000.0,3213.2,3095.1,117.8,282.0,1385.9,264.8,7964.1
11,2048,798.973,296.285,714.404,191262720,42.61,54.487,30.082,0,2475.449,1.000,0,0.00,3000.0,3194.1,3077.0,116.8,300.4,1408.1,311.7,7915.5
