# bmoe_metrics v1
# model=Qwen_Qwen3.6-35B-A3B-Q4_K_M.gguf arch=qwen35moe n_layer=40 n_expert=256 n_expert_used=8 threads=4 n_ctx=4096
# moe_stream=1 cache_mb=3000 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=1 prefetch=0 dense_weights=ahwb drop_cold_frac=0.75
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,2048,381.398,425.324,263.211,273666048,6.74,71.097,47.090,4539,1342.536,-1.000,0,17.73,3000.0,3360.3,3101.2,258.7,276.6,1558.3,134.7,8258.6
2,2048,184.297,96.554,151.791,57888768,14.97,22.763,9.742,8,549.663,-1.000,0,0.03,3000.0,3361.6,3103.7,257.5,274.2,1564.0,180.3,8257.2
3,2048,867.087,253.698,777.212,161832960,19.40,60.657,29.217,4,2452.516,1.000,0,0.02,3000.0,3302.1,3046.6,255.1,331.1,1500.6,116.6,8221.1
4,2048,184.190,179.925,126.035,111181824,24.09,31.625,26.529,2,570.701,1.000,0,0.01,3000.0,3353.3,3097.8,255.1,279.8,1493.1,110.4,8272.2
5,2048,185.031,195.370,124.428,123224064,27.67,40.781,19.823,1,590.481,1.000,0,0.00,3000.0,3355.3,3099.8,255.1,276.6,1489.0,105.4,8275.4
6,2048,465.439,174.850,412.884,108269568,31.23,31.974,20.581,9,1421.769,1.000,0,0.04,3000.0,3355.4,3099.9,255.1,276.6,1532.6,190.6,8272.0
7,2048,202.557,185.688,142.174,120741888,34.19,41.505,18.878,2,663.176,1.000,0,0.01,3000.0,3357.7,3102.2,255.1,274.9,1538.6,204.7,8270.4
8,2048,157.362,99.703,123.745,58859520,37.52,24.045,9.572,0,467.379,1.000,0,0.00,3000.0,3354.7,3099.2,255.1,278.0,1533.5,227.1,8267.1
9,2048,209.188,136.602,162.102,71872512,40.36,33.239,13.846,0,659.749,1.000,0,0.00,3000.0,3357.4,3101.9,255.1,274.9,1531.8,228.7,8269.1
10,2048,197.380,144.017,149.720,86237184,42.47,33.950,13.709,153,623.822,1.000,0,0.60,3000.0,3352.5,3097.0,255.1,280.9,1530.6,249.9,8263.9
11,2048,192.706,160.135,142.998,102273024,44.26,33.343,16.365,0,606.432,1.000,0,0.00,3000.0,3345.0,3098.2,246.4,279.6,1536.8,292.5,8263.4
12,2048,175.953,135.850,130.133,77598720,46.29,32.462,13.357,0,557.401,1.000,0,0.00,3000.0,3340.6,3093.8,246.4,283.2,1531.7,286.2,8259.8
13,2048,212.570,108.018,175.116,62693376,48.30,26.815,10.639,0,695.347,1.000,0,0.00,3000.0,3329.6,3092.3,236.9,285.1,1535.2,321.0,8256.1
14,2048,445.535,125.030,407.040,71172096,49.99,24.805,13.691,9,1289.879,1.000,0,0.04,3000.0,3334.5,3097.3,236.9,280.5,1491.5,277.5,8260.8
15,2048,471.916,210.850,411.267,128139264,51.10,39.642,21.008,0,1431.966,1.000,0,0.00,3000.0,3333.6,3096.4,236.9,280.5,1491.1,271.7,8262.0
16,2048,164.883,119.031,124.428,71331840,52.58,29.644,10.812,0,510.559,1.000,0,0.00,3000.0,3334.7,3097.4,236.9,280.5,1488.0,268.6,8262.0
17,2048,163.668,71.785,139.085,42872832,54.14,17.644,6.939,0,512.005,1.000,0,0.00,3000.0,3334.6,3097.3,236.9,280.5,1498.8,279.4,8262.0
18,2048,157.833,111.384,121.560,64475136,55.47,25.989,10.285,9,475.950,1.000,0,0.04,3000.0,3333.5,3096.2,236.9,280.5,1493.6,274.2,8262.3
19,2048,179.928,156.413,129.467,93794304,56.25,36.167,14.294,0,569.689,1.000,0,0.00,3000.0,3334.8,3097.6,236.9,280.5,1494.1,274.7,8262.3
20,2048,175.263,106.337,133.723,60100608,57.31,32.405,9.135,0,535.037,1.000,0,0.00,3000.0,3335.4,3098.1,236.9,280.5,1476.7,257.3,8262.3
21,2048,154.417,97.354,122.593,55296000,58.32,23.120,8.704,0,475.222,1.000,0,0.00,3000.0,3335.5,3098.2,236.9,280.5,1466.9,246.9,8262.5
22,2048,456.302,118.565,412.168,63664128,59.18,32.718,11.415,9,1380.171,1.000,0,0.04,3000.0,3334.8,3097.6,236.9,280.5,1463.5,242.3,8263.5
23,2048,356.199,82.232,329.112,44924928,60.00,19.512,7.574,0,1038.490,1.000,0,0.00,3000.0,3335.3,3098.0,236.9,280.5,1510.1,269.4,8264.5
24,2048,148.732,103.719,115.390,58318848,60.77,25.148,8.194,0,396.360,1.000,0,0.00,3000.0,3334.0,3096.8,236.9,280.5,1487.7,241.7,8264.8
25,2048,147.628,60.076,127.784,37367808,61.68,15.713,4.130,0,409.330,1.000,0,0.00,3000.0,3334.6,3097.3,236.9,280.5,1513.9,253.7,8266.8
26,2048,109.750,82.600,82.128,51081216,62.45,22.776,4.845,9,318.670,1.000,0,0.04,3000.0,3326.4,3098.1,227.9,280.3,1514.9,303.8,8261.3
27,2048,109.316,76.514,81.898,46006272,63.16,23.071,4.348,0,321.169,1.000,0,0.00,3000.0,3323.8,3095.6,227.9,281.5,1492.4,281.3,8259.8
28,2048,104.401,53.222,84.418,30240768,64.06,16.115,3.868,0,287.449,1.000,0,0.00,3000.0,3324.1,3095.9,227.9,281.5,1485.4,274.3,8260.0
29,2048,115.464,78.648,89.167,48599040,64.78,21.052,5.245,0,334.865,1.000,0,0.00,3000.0,3323.9,3095.7,227.9,281.5,1481.4,270.3,8260.0
30,2048,141.636,144.344,94.691,95846400,65.17,36.552,10.392,9,445.585,1.000,0,0.04,3000.0,3324.4,3096.2,227.9,281.5,1480.5,269.0,8260.3
31,2048,147.317,152.320,98.391,98598912,65.53,36.460,12.466,0,452.661,1.000,0,0.00,3000.0,3323.7,3095.5,227.9,281.5,1476.7,264.4,8260.3
32,2048,145.972,109.587,111.323,66957312,66.02,25.851,8.798,0,447.971,1.000,0,0.00,3000.0,3324.4,3096.2,227.9,281.5,1466.6,241.8,8261.3
33,2048,154.012,93.708,121.256,51892224,66.62,24.732,8.023,0,439.340,1.000,0,0.00,3000.0,3325.2,3096.9,227.9,281.5,1458.5,225.4,8261.5
34,2048,866.288,145.419,817.053,75325440,66.99,36.247,12.988,19,2512.681,1.000,0,0.07,3000.0,3307.3,3091.4,215.5,285.8,1518.3,304.8,8247.8
35,2048,159.053,103.415,122.958,59400192,67.46,26.599,9.496,0,464.687,1.000,0,0.00,3000.0,3302.3,3086.4,215.5,290.7,1492.1,278.6,8242.3
36,2048,477.585,135.625,428.943,69660672,67.88,37.395,11.247,2,1473.645,1.000,0,0.01,3000.0,3302.7,3086.8,215.5,290.7,1488.2,269.4,8242.8
37,2048,397.533,59.894,375.275,26836992,68.50,17.152,5.106,0,1190.441,1.000,0,0.00,3000.0,3302.8,3086.9,215.5,290.7,1480.1,256.3,8243.8
38,2048,156.377,53.019,137.096,27377664,69.09,13.652,5.628,9,457.609,1.000,0,0.04,3000.0,3301.9,3086.1,215.5,290.7,1478.3,254.4,8243.8
39,2048,157.925,109.822,120.526,67497984,69.43,27.263,10.137,0,472.123,1.000,0,0.00,3000.0,3303.3,3087.4,215.5,290.7,1469.1,242.7,8244.3
40,2048,141.785,67.558,119.225,37367808,69.94,16.501,6.059,0,430.169,1.000,0,0.00,3000.0,3303.6,3087.8,215.5,290.7,1465.1,238.7,8244.3
41,2048,216.588,133.213,173.733,78569472,70.19,29.840,13.015,0,656.161,1.000,0,0.00,3000.0,3303.4,3087.5,215.5,290.7,1460.7,219.6,8247.1
42,2048,481.624,248.824,408.643,147628032,70.14,50.938,22.043,19,1508.897,1.000,0,0.07,3000.0,3302.2,3086.3,215.5,290.7,1462.5,217.9,8232.1
43,2048,184.863,194.014,124.789,130461696,70.18,41.268,18.806,0,606.730,1.000,0,0.00,3000.0,3302.7,3086.8,215.5,290.7,1466.7,222.5,8232.1
44,2048,505.362,262.352,421.243,159350784,70.10,60.347,23.772,0,1595.925,1.000,0,0.00,3000.0,3303.4,3087.5,215.5,290.7,1469.7,224.6,8232.1
45,2048,800.051,366.998,688.896,224526336,69.86,78.126,33.029,0,2515.356,1.000,0,0.00,3000.0,3293.3,3086.1,206.7,290.8,1526.2,281.6,8232.1
46,2048,231.973,180.753,174.849,115236864,70.04,39.811,17.313,19,724.445,1.000,0,0.07,3000.0,3282.1,3085.8,195.9,292.2,1512.7,292.1,8225.6
47,2048,228.016,293.512,137.561,193585152,69.87,61.172,29.283,0,774.015,1.000,0,0.00,3000.0,3282.5,3086.3,195.9,292.2,1508.6,286.8,8226.3
48,2048,186.069,203.094,122.441,123224064,69.95,46.463,17.164,0,605.569,1.000,0,0.00,3000.0,3282.4,3086.2,195.9,292.2,1491.1,268.8,8226.3
49,2048,187.621,201.182,125.199,125276160,70.03,43.494,18.928,0,591.362,1.000,0,0.00,3000.0,3281.0,3084.8,195.9,292.2,1484.7,260.8,8226.6
